# Frequency, Real(S21), Imag(S21), Real(S11), Imag(S11), Amp(S21), Amp(S11)
4.000000000000000000e+09,1.812668324737160174e-06,1.421925613644394403e-04,-7.187493527407852190e-01,6.747285643533048466e-03,1.422041148273684211e-04,7.187810222375470293e-01
4.080000000000000000e+09,2.299083302462603158e-06,1.449001420721629247e-04,-7.187445604669184807e-01,6.902268639942353047e-03,1.449183803268745512e-04,7.187777017361917098e-01
4.160000000000000477e+09,2.795343441678069016e-06,1.458975220845969384e-04,-7.187394924544685537e-01,7.059007824278287942e-03,1.459242985091324185e-04,7.187741561889731123e-01
4.240000000000000000e+09,5.510867534640213979e-07,1.453854552430840252e-04,-7.187211545810117119e-01,7.217800795828982485e-03,1.453864996925389541e-04,7.187573962684424833e-01
4.320000000000000000e+09,3.602727737441465490e-06,1.440723988236556588e-04,-7.187284307847466858e-01,7.378057751745503018e-03,1.441174373556254596e-04,7.187662992617923630e-01
4.400000000000000000e+09,3.003197922531800339e-05,1.426539430993673907e-04,-7.187223795700934392e-01,7.540551185903797068e-03,1.457808878350913377e-04,7.187619347232327982e-01
4.480000000000000000e+09,3.932229617355613641e-06,1.409947260506618383e-04,-7.187159362701456278e-01,7.705171787238492519e-03,1.410495487545592602e-04,7.187572376824756804e-01
4.560000000000000000e+09,3.915175717785485963e-06,1.404286443522673481e-04,-7.187090607330206549e-01,7.872054211739880694e-03,1.404832116500641772e-04,7.187521709304628414e-01
4.640000000000000000e+09,3.820190496766318023e-06,1.410051242852659805e-04,-7.187017065600049825e-01,8.041354649988539244e-03,1.410568641723432216e-04,7.187466913989033479e-01
4.720000000000000000e+09,3.631092633180133534e-06,1.428736855418054645e-04,-7.187074704811389214e-01,8.214600337723441947e-03,1.429198196682652058e-04,7.187544140971279250e-01
4.800000000000000000e+09,3.593538419210259106e-06,1.458422700679133221e-04,-7.186853370829507925e-01,8.387955430135853041e-03,1.458865355573724760e-04,7.187342843738098175e-01
