# Frequency, Real(S21), Imag(S21), Real(S11), Imag(S11)
4.000000000000000000e+09,1.727282322568396799e-06,1.472452130115576695e-04,-7.187393459096682591e-01,7.102609395260818179e-03
4.080000000000000000e+09,3.121587649862826178e-06,1.501235502631476548e-04,-7.187181303765550755e-01,7.283533669257945958e-03
4.160000000000000477e+09,4.146564830246394194e-06,1.512780151256716814e-04,-7.187092785385227334e-01,7.470485582815920324e-03
4.240000000000000000e+09,5.115876182444801361e-06,1.509665149250170586e-04,-7.186994708027376610e-01,7.662307639585609446e-03
4.320000000000000000e+09,5.932635106917365308e-06,1.496783445217475961e-04,-7.186885273605335689e-01,7.859520297055330035e-03
4.400000000000000000e+09,6.529743520927095171e-06,1.480201581438574208e-04,-7.186762144309937206e-01,8.062748290437460330e-03
4.480000000000000000e+09,6.883589071259387215e-06,1.465923218763263145e-04,-7.186622199379515408e-01,8.272749231344267776e-03
4.560000000000000000e+09,7.017193844694687751e-06,1.458817471825679549e-04,-7.186461133580012151e-01,8.490451351368454719e-03
4.640000000000000000e+09,6.992708301791676298e-06,1.461905984787944710e-04,-7.186272755579538041e-01,8.717002820047248593e-03
4.720000000000000000e+09,6.895807151578538227e-06,1.476087407296253423e-04,-7.186047683211567172e-01,8.953829745556848851e-03
4.800000000000000000e+09,6.816288479010314843e-06,1.500271164768646171e-04,-7.185770801519513196e-01,9.202669447891730775e-03
4.880000000000000000e+09,6.829915185322919406e-06,1.531814986444905355e-04,-7.185416610444322894e-01,9.465413993713311935e-03
4.960000000000000000e+09,6.986131188001434839e-06,1.567117648446635667e-04,-7.184944514933853110e-01,9.743316797155870956e-03
5.040000000000000000e+09,7.304497286276247735e-06,1.602202626364141976e-04,-7.184304988475699316e-01,1.003568793711976520e-02
5.120000000000000000e+09,7.777503025837035347e-06,1.633139578189624357e-04,-7.183455930903983599e-01,1.033989182275951886e-02
5.200000000000000000e+09,8.371293248490030447e-06,1.656233789685320347e-04,-7.182368405559482749e-01,1.065250054570746237e-02
5.280000000000000000e+09,9.017151283732310199e-06,1.668016923072508650e-04,-7.181023310435903362e-01,1.096995728544849537e-02
5.360000000000000000e+09,9.590736705745791317e-06,1.665116527396727703e-04,-7.179408148855879190e-01,1.128873876968753374e-02
5.440000000000000000e+09,9.878251054416899076e-06,1.644097197239480191e-04,-7.177515307177196879e-01,1.160537052383056600e-02
5.520000000000000000e+09,9.530776124301246080e-06,1.601375153568614627e-04,-7.175341204163266928e-01,1.191641752267285845e-02
