# Frequency, Real(S21), Imag(S21), Real(S11), Imag(S11)
4.000000000000000000e+09,1.907200892501096630e-06,1.461443259671131264e-04,-7.187326830056934845e-01,7.017146204793086282e-03
4.080000000000000000e+09,2.229270510679892118e-06,1.490037157907686267e-04,-7.187391605208673928e-01,7.193333929253003210e-03
4.160000000000000477e+09,3.612038852093420330e-06,1.501486305973107646e-04,-7.187181002312312827e-01,7.370024260127014740e-03
4.240000000000000000e+09,4.427353001531401614e-06,1.498370837240622379e-04,-7.187098056331663321e-01,7.552042082024803746e-03
4.320000000000000000e+09,4.622644559487987507e-06,1.485677137532022960e-04,-7.187130273532399416e-01,7.739946056767019189e-03
4.400000000000000000e+09,5.579652847193393579e-06,1.469541311168304221e-04,-7.186906632436590447e-01,7.928950473304196764e-03
4.480000000000000000e+09,5.840559034544620036e-06,1.456068789201958754e-04,-7.186795123832493415e-01,8.124717739943271635e-03
4.560000000000000000e+09,5.908023442682279247e-06,1.450218455478669997e-04,-7.186670347054114893e-01,8.326086427501077844e-03
4.640000000000000000e+09,5.839645597793005036e-06,1.455108616350502091e-04,-7.186529438590127938e-01,8.533738440495208799e-03
4.720000000000000000e+09,5.713872145834792167e-06,1.471740376547316792e-04,-7.186368513028893457e-01,8.748499326425292905e-03
4.800000000000000000e+09,5.612850958781997180e-06,1.499137749110379246e-04,-7.186182101128985034e-01,8.971375867986543934e-03
4.880000000000000000e+09,5.606117676319822438e-06,1.534793106285481509e-04,-7.185962146070876688e-01,9.203599772088942935e-03
4.960000000000000000e+09,5.738521541928250161e-06,1.575275368637536733e-04,-7.185696133140265784e-01,9.446656060687706052e-03
5.040000000000000000e+09,6.024554734511209164e-06,1.616855469162021132e-04,-7.185363722347025695e-01,9.702198075915621431e-03
5.120000000000000000e+09,6.449842001154280972e-06,1.656031893434593751e-04,-7.184932570041882016e-01,9.971559601150368699e-03
5.200000000000000000e+09,-1.539330830453015161e-04,1.561499936330281910e-04,-7.184360021283832110e-01,1.025472012783019277e-02
5.280000000000000000e+09,7.567188248854925478e-06,1.716116258002868696e-04,-7.183605376056652059e-01,1.054984751407689672e-02
5.360000000000000000e+09,8.166028011609100868e-06,1.733040953441180915e-04,-7.182638591795806882e-01,1.085407681336511033e-02
5.440000000000000000e+09,8.720322875268331821e-06,1.739165003402603322e-04,-7.181439353484074806e-01,1.116426420762222510e-02
5.520000000000000000e+09,9.149545185059262798e-06,1.732896566329929070e-04,-7.179994078969558213e-01,1.147725428275452042e-02
5.600000000000000000e+09,9.316454087614278111e-06,1.712224732956215073e-04,-7.178293995046591824e-01,1.178993335813265098e-02
5.680000000000000000e+09,8.984224801498821053e-06,1.674539869222465877e-04,-7.176334119770552133e-01,1.209923022066811647e-02
