# Frequency, Real(S21), Imag(S21), Real(S11), Imag(S11), Amp(S21), Amp(S11)
4.000000000000000000e+09,2.116646442898952236e-05,1.444569546767030617e-04,-7.187940261034453382e-01,6.835582258790628453e-03,1.459994211320398403e-04,7.188265278541250414e-01
4.080000000000000000e+09,2.724220988768037393e-06,1.467613088611129817e-04,-7.187556410751088087e-01,6.993513849232817561e-03,1.467865905272775363e-04,7.187896638191524357e-01
4.160000000000000477e+09,2.111265737558511973e-05,1.483329715705715153e-04,-7.187143471988498566e-01,7.154163862859339376e-03,1.498279505179685341e-04,7.187499529948128130e-01
4.240000000000000000e+09,2.039355798421406293e-05,1.481108974604113961e-04,-7.187370702070586814e-01,7.318056837459764596e-03,1.495083113200868083e-04,7.187743248375686456e-01
4.320000000000000000e+09,7.771253232487839520e-07,1.462350925065344811e-04,-7.187226718690092886e-01,7.482744660152850294e-03,1.462371573990780540e-04,7.187616228807549579e-01
4.400000000000000000e+09,1.688230323261085390e-06,1.447648406796545506e-04,-7.187305614511065865e-01,7.652132219752374141e-03,1.447746843154221652e-04,7.187712954002346555e-01
4.480000000000000000e+09,2.282754618491379461e-05,1.439338424537899485e-04,-7.187088550523792474e-01,7.821368136435070256e-03,1.457327961316079380e-04,7.187514119152932368e-01
4.560000000000000000e+09,4.740002630270167880e-07,1.429498717824875245e-04,-7.187011811646750736e-01,7.994658769189815981e-03,1.429506576370985916e-04,7.187456451181704065e-01
4.640000000000000000e+09,5.988888740291874613e-07,1.436442407968821174e-04,-7.186929149493523905e-01,8.170870528442028199e-03,1.436454892504324013e-04,7.187393610507146757e-01
4.720000000000000000e+09,7.642931952546566632e-07,1.455955855476711593e-04,-7.186839807095843913e-01,8.350243988405147907e-03,1.455975915839871962e-04,7.187324889715506204e-01
4.800000000000000000e+09,9.104618914101171985e-07,1.487227382577991351e-04,-7.186742878766346765e-01,8.533055941872813577e-03,1.487255250982612558e-04,7.187249439797502859e-01
4.880000000000000000e+09,-9.592099233653648656e-08,1.528341180569608754e-04,-7.186439985717559820e-01,8.720322662590424337e-03,1.528341481576870134e-04,7.186969046201199252e-01
4.960000000000000000e+09,9.320006205833226395e-07,1.574921611205668014e-04,-7.186521634613413090e-01,8.910315060541636190e-03,1.574949187738554921e-04,7.187073992677023293e-01
5.040000000000000000e+09,7.341410763026870321e-07,1.624725065911132007e-04,-7.186394306814103405e-01,9.105549093771959923e-03,1.624741652113320992e-04,7.186971144747978935e-01
5.120000000000000000e+09,3.752974392894237000e-07,1.674223931088623268e-04,-7.186253173338554845e-01,9.305813923211262231e-03,1.674228137455178794e-04,7.186855674674134109e-01
5.200000000000000000e+09,-1.434874783057959205e-07,1.720950804202231183e-04,-7.186095506904048857e-01,9.511676505713311663e-03,1.720951402378913524e-04,7.186724972707769776e-01
5.280000000000000000e+09,-8.127263857072515086e-07,1.763275627268604375e-04,-7.185917698842391177e-01,9.723800172229651873e-03,1.763294357201114926e-04,7.186575568622045607e-01
5.360000000000000000e+09,-1.620039498467879902e-06,1.800400482439050637e-04,-7.185714833777735455e-01,9.942964132657147736e-03,1.800473368301910100e-04,7.186402711089027173e-01
5.440000000000000000e+09,-2.555039164161078852e-06,1.832218184698817262e-04,-7.185479987710298166e-01,1.017008111573727142e-02,1.832396326904763429e-04,7.186199670811774798e-01
5.520000000000000000e+09,-3.612656544261538431e-06,1.859090167248023139e-04,-7.185203057878043476e-01,1.040619590852159479e-02,1.859441146874232754e-04,7.185956573363676547e-01
5.600000000000000000e+09,-4.794440452753352786e-06,1.881594979653217811e-04,-7.184868940089490508e-01,1.065241149298694866e-02,1.882205709634760806e-04,7.185658569214394831e-01
5.680000000000000000e+09,-6.107732477309367724e-06,1.900287256831831046e-04,-7.184455527182647128e-01,1.090962535033600418e-02,1.901268549700142350e-04,7.185283794993331252e-01
5.760000000000000000e+09,-7.563123127388354645e-06,1.915484966569142608e-04,-7.183934124411958111e-01,1.117801821342973359e-02,1.916977501249400053e-04,7.184803707340138290e-01
5.840000000000000954e+09,-9.171770997760258381e-06,1.927080879417792237e-04,-7.183274877273058134e-01,1.145668232615831665e-02,1.929262256444464624e-04,7.184188438470592297e-01
5.920000000000000000e+09,-1.094608162299578691e-05,1.934365753274051923e-04,-7.182452894439202984e-01,1.174384462957754789e-02,1.937460331911138500e-04,7.183412933244646137e-01
6.000000000000000000e+09,-1.290795675250656609e-05,1.935864887347175586e-04,-7.181449862067258438e-01,1.203733637382792959e-02,1.940163497444519669e-04,7.182458622789518188e-01
6.080000000000000000e+09,-1.510753863115912429e-05,1.929204002854805866e-04,-7.180252846063303052e-01,1.233487882566760251e-02,1.935110295817838518e-04,7.181312265663187810e-01
6.160000000000000000e+09,-1.765364551441079953e-05,1.911027642554637791e-04,-7.178852894724705447e-01,1.263418943438364243e-02,1.919164341739076928e-04,7.179964565258221132e-01
6.239999999999999046e+09,-2.075568745982649208e-05,1.876997883271397524e-04,-7.177244099255123411e-01,1.293301134595644004e-02,1.888438749337215366e-04,7.178409234540752415e-01
6.320000000000000000e+09,-2.477565775095083860e-05,1.821905658003903337e-04,-7.175423027108351892e-01,1.322911846027211014e-02,1.838674399768991450e-04,7.176642430515843829e-01
6.400000000000000954e+09,-3.028736266601511509e-05,1.739935186249783028e-04,-7.173388381480122478e-01,1.352031426370148108e-02,1.766099342074601316e-04,7.174662414450796444e-01
6.480000000000000000e+09,-3.813859160098687410e-05,1.625124474068432277e-04,-7.171140792857385593e-01,1.380442996218098593e-02,1.669276721561432811e-04,7.172469344628900068e-01
6.560000000000000000e+09,-4.951037822224939647e-05,1.472047927774233615e-04,-7.168682689661335372e-01,1.407932339976222108e-02,1.553078509553021359e-04,7.170065148922259990e-01
6.640000000000000000e+09,-6.596587876443746139e-05,1.276768125178363129e-04,-7.166018220418833851e-01,1.434287901187143721e-02,1.437110490389628388e-04,7.167453449671621346e-01
6.720000000000000000e+09,-8.948024197056740668e-05,1.038046685120813287e-04,-7.163153211907457019e-01,1.459300885850035347e-02,1.370478854561951319e-04,7.164639525336535808e-01
6.799999999999999046e+09,-1.224417714880054672e-04,7.588094771641252069e-05,-7.160095155374587295e-01,1.482765476336245745e-02,1.440482753505291889e-04,7.161630301027607226e-01
6.880000000000000000e+09,-1.676144238553476415e-04,4.478151696019232929e-05,-7.156853216250232963e-01,1.504479173167320126e-02,1.734934562040197790e-04,7.158434363376969811e-01
6.960000000000000954e+09,-2.280520206834835356e-04,1.214501853594897990e-05,-7.153438263675243602e-01,1.524243292979247238e-02,2.283751860712072783e-04,7.155061996123793788e-01
7.039999999999999046e+09,-3.069559400907832455e-04,-1.944691933376332135e-05,-7.149862917359982584e-01,1.541863658514133935e-02,3.075713442903782978e-04,7.151525233994064923e-01
7.120000000000000000e+09,-4.074703371814208594e-04,-4.630361449664232546e-05,-7.146141607979455967e-01,1.557151523860162388e-02,4.100927948625707046e-04,7.147837931149376711e-01
7.200000000000000000e+09,-5.389675708078713523e-04,-4.847965065884145665e-05,-7.141612709486032662e-01,1.579554573763015252e-02,5.411435289371398618e-04,7.143359295094108274e-01
7.280000000000000000e+09,-6.839390332196152627e-04,-6.475091024773431229e-05,-7.138328298062908139e-01,1.580009484150478316e-02,6.869972936913886549e-04,7.140076693609512803e-01
7.359999999999999046e+09,-8.631579287400928911e-04,-4.248863331867628722e-05,-7.134274849942234820e-01,1.587241744540499738e-02,8.642030397471280262e-04,7.136040288428479039e-01
7.440000000000000000e+09,-1.069694042477914355e-03,1.214040247370356401e-05,-7.130152670752802901e-01,1.591469991093311803e-02,1.069762933497401267e-03,7.131928552332028604e-01
