# Frequency, Real(S21), Imag(S21), Real(S11), Imag(S11)
4.000000000000000000e+09,3.785921821206638153e-05,1.405117387487332583e-04,-7.188419316416184701e-01,6.803721671343695467e-03
4.080000000000000000e+09,1.289234612833385448e-05,1.448649943071606959e-04,-7.187508807565009539e-01,6.952099972915904737e-03
4.160000000000000477e+09,2.073582325232276849e-06,1.463829049103807813e-04,-7.187535318273359231e-01,7.110515810021733260e-03
4.240000000000000000e+09,1.128467778517453360e-06,1.459118048340428690e-04,-7.187034604527969828e-01,7.268774211891430165e-03
4.320000000000000000e+09,3.522331099840307908e-06,1.445648417146336415e-04,-7.187266072828212282e-01,7.431267804611190256e-03
4.400000000000000000e+09,3.754433972464889790e-06,1.428763508515812732e-04,-7.187204526415726935e-01,7.595227616727718775e-03
4.480000000000000000e+09,2.989661880774733920e-05,1.418136708661421445e-04,-7.187287165340742190e-01,7.762644768033596758e-03
4.560000000000000000e+09,3.814232265749232286e-06,1.409518841141653954e-04,-7.187069081658342684e-01,7.929778954526584683e-03
4.640000000000000000e+09,3.699528687293044061e-06,1.415502528557050952e-04,-7.186994306434021373e-01,8.100666875301565026e-03
4.720000000000000000e+09,3.490868653464041079e-06,1.434478537882863240e-04,-7.187049047094691279e-01,8.275596995668875119e-03
4.800000000000000000e+09,3.428379403918647892e-06,1.464450663777589054e-04,-7.186827899623505767e-01,8.450584865086872496e-03
4.880000000000000000e+09,3.406401066283379490e-06,1.504704564635453348e-04,-7.186853157974072426e-01,8.631495938799341530e-03
4.960000000000000000e+09,3.906815540959682037e-06,1.550136775911116255e-04,-7.186434316258591970e-01,8.813533343740411266e-03
5.040000000000000000e+09,3.550067908171048304e-06,1.599071635379401197e-04,-7.186524607526509900e-01,8.999415939596442510e-03
5.120000000000000000e+09,3.793565280820828533e-06,1.647597280283327682e-04,-7.186404957762558832e-01,9.189948934267125336e-03
5.200000000000000000e+09,4.117247286198749452e-06,1.693415269545551225e-04,-7.186273543863901381e-01,9.384902602385510051e-03
5.280000000000000000e+09,4.493394549804381941e-06,1.734971425725602802e-04,-7.186128299799422470e-01,9.584735473973815534e-03
5.360000000000000000e+09,5.711973112440508365e-06,1.771749731597289294e-04,-7.185744282202916056e-01,9.790740380543975704e-03
5.440000000000000000e+09,5.286495817804293872e-06,1.803193933095775803e-04,-7.185784900791801766e-01,1.000124038302820095e-02
5.520000000000000000e+09,5.654520029383076102e-06,1.830360466776686211e-04,-7.185578592699150002e-01,1.021924168889176178e-02
5.600000000000000000e+09,5.980934660228469917e-06,1.853803028273313437e-04,-7.185341155508027100e-01,1.044481022292933006e-02
5.680000000000000000e+09,6.256058245089707735e-06,1.874287377201965443e-04,-7.185063282543835417e-01,1.067888631013786879e-02
5.760000000000000000e+09,6.474213684618255991e-06,1.892431444415085219e-04,-7.184731355586779777e-01,1.092245829671116379e-02
5.840000000000000954e+09,6.631908468276032572e-06,1.908591936533097881e-04,-7.184325782256463233e-01,1.117635259878153528e-02
5.920000000000000000e+09,6.726499659786549316e-06,1.922802740231585703e-04,-7.183821051120906631e-01,1.144082217024352047e-02
6.000000000000000000e+09,6.755219560277992766e-06,1.934743806824088387e-04,-7.183189767089368516e-01,1.171519275195089319e-02
6.080000000000000000e+09,6.713138200263812455e-06,1.943716775427193439e-04,-7.182408084706105589e-01,1.199796721078022141e-02
6.160000000000000000e+09,6.587800423225851384e-06,1.948615176518530266e-04,-7.181457878953139140e-01,1.228721405278174715e-02
6.239999999999999046e+09,6.348910977773558566e-06,1.947893731878940610e-04,-7.180326089645217014e-01,1.258085309143821238e-02
6.320000000000000000e+09,5.932448547180579136e-06,1.939547471084585202e-04,-7.179003511317330055e-01,1.287677908937620401e-02
6.400000000000000954e+09,5.219296620979208380e-06,1.921116855039255872e-04,-7.177483883419383259e-01,1.317290249987308759e-02
6.480000000000000000e+09,4.009085165722681469e-06,1.889739185537936232e-04,-7.175763312771216151e-01,1.346715985245659601e-02
6.560000000000000000e+09,1.990618579293229043e-06,1.842271024072762861e-04,-7.173839916233484271e-01,1.375751478534788415e-02
6.640000000000000000e+09,-1.288996119631175778e-06,1.775504902515661558e-04,-7.171713596653340739e-01,1.404195686241139010e-02
6.720000000000000000e+09,-6.453595451102122574e-06,1.686503293751617273e-04,-7.169385900244867882e-01,1.431850040766643323e-02
6.799999999999999046e+09,-1.432197190405409067e-05,1.573063669416087591e-04,-7.166859926662263458e-01,1.458518397866519559e-02
6.880000000000000000e+09,-2.592244914111752714e-05,1.434319178470496012e-04,-7.164140275865071850e-01,1.484007062904657212e-02
6.960000000000000954e+09,-4.249345321861544328e-05,1.271461439181632402e-04,-7.161233023063735548e-01,1.508124904258528916e-02
7.039999999999999046e+09,-6.546538347763428806e-05,1.088562825078165136e-04,-7.158145716632161593e-01,1.530683568935191537e-02
7.120000000000000000e+09,-9.641939727178189062e-05,8.934561448948751157e-05,-7.154887395688666052e-01,1.551497820392109227e-02
7.200000000000000000e+09,-1.370193586824682453e-04,6.986093694763190524e-05,-7.151468624342499636e-01,1.570386029770279995e-02
7.280000000000000000e+09,-1.889143968982764119e-04,5.219282110311120808e-05,-7.147901540001869725e-01,1.587170850955127790e-02
7.359999999999999046e+09,-2.536109954448826438e-04,3.874026048237644380e-05,-7.144199911780734213e-01,1.601680116614786001e-02
7.440000000000000000e+09,-3.323156403436148491e-04,3.255093820296226480e-05,-7.140379205014798503e-01,1.613747988907741210e-02
7.520000000000000000e+09,-4.257513276591403089e-04,3.732810876236472087e-05,-7.136456646544430127e-01,1.623216393519520684e-02
7.599999999999999046e+09,-5.339538303943675143e-04,5.739555363124990931e-05,-7.132451284542087322e-01,1.629936764250717804e-02
7.680000000000000000e+09,-6.560562634720994114e-04,9.761249219305558576e-05,-7.128384035784546269e-01,1.633772104772462930e-02
7.760000000000000954e+09,-7.900731700492880961e-04,1.632322169438044177e-04,-7.124277712460208578e-01,1.634599378795125943e-02
7.840000000000000000e+09,-9.326977177789212790e-04,2.596995989926653182e-04,-7.120157020013806459e-01,1.632312204687569671e-02
7.919999999999999046e+09,-1.079127577185664752e-03,3.923853279539511914e-04,-7.116048516906862131e-01,1.626823828819125989e-02
8.000000000000000000e+09,-1.222936643425386744e-03,5.662576899839195238e-04,-7.111980527422806508e-01,1.618070324752250710e-02
8.080000000000000000e+09,-1.356010313551420880e-03,7.854962938494591991e-04,-7.107982998672355279e-01,1.606013941699839867e-02
8.159999999999999046e+09,-1.468562316057225609e-03,1.053056243459220363e-03,-7.104087294160300603e-01,1.590646503622031305e-02
8.240000000000000000e+09,-1.549249833443205882e-03,1.370195846169170589e-03,-7.100325917468801595e-01,1.571992738180577262e-02
8.320000000000000954e+09,-1.585402008553572425e-03,1.735985847057291715e-03,-7.096732161991798904e-01,1.550113388270789837e-02
8.400000000000000000e+09,-1.563373939740726488e-03,2.146822977234909367e-03,-7.093339685911858039e-01,1.525107941062286802e-02
8.480000000000000000e+09,-1.469034537169200101e-03,2.595975700413691821e-03,-7.090182014529015087e-01,1.497116796403159290e-02
8.560000000000000000e+09,-1.288391762713902511e-03,3.073194430628113476e-03,-7.087291977497806039e-01,1.466322693093936001e-02
8.640000000000000000e+09,-1.008352901324091654e-03,3.564422693333599550e-03,-7.084701092487293295e-01,1.432951211415125527e-02
8.720000000000000000e+09,-6.176105544425333251e-04,4.051648962700353171e-03,-7.082438912176080015e-01,1.397270202158470802e-02
8.800000000000000000e+09,-1.076365425139815847e-04,4.512941228331534584e-03,-7.080532356222877244e-01,1.359588008304315164e-02
8.880000000000000000e+09,5.262439305281710333e-04,4.922707211097073973e-03,-7.079005053471995046e-01,1.320250418944048966e-02
8.959999999999998093e+09,1.283737427407335074e-03,5.252222241350907976e-03,-7.077876723116631741e-01,1.279636331610372463e-02
9.040000000000000000e+09,2.158480078382366083e-03,5.470462551205514980e-03,-7.077162624050667983e-01,1.238152194759228018e-02
9.120000000000000000e+09,3.137017096062659754e-03,5.545275420954893890e-03,-7.076873100757368196e-01,1.196225359411150733e-02
9.200000000000000000e+09,4.197950114956957787e-03,5.444902837936023247e-03,-7.077013251187587173e-01,1.154296560437245191e-02
9.280000000000000000e+09,5.311355883148152074e-03,5.139858828559303386e-03,-7.077582736203630320e-01,1.112811801933741296e-02
9.360000000000000000e+09,6.438595317980367813e-03,4.605131332871681762e-03,-7.078575743391444242e-01,1.072213974679063833e-02
9.440000000000000000e+09,7.532642626994360061e-03,3.822644332335302982e-03,-7.079981108787525290e-01,1.032934566384644329e-02
9.520000000000000000e+09,8.539065827404487136e-03,2.783869984898949303e-03,-7.081782591147337547e-01,9.953858164784733925e-03
9.600000000000000000e+09,9.448872621248865372e-03,1.485032067645839296e-03,-7.083959284353813501e-01,9.599536535262494577e-03
