# Frequency, Real(S21), Imag(S21), Real(S11), Imag(S11)
4.000000000000000000e+09,3.786298091026121083e-05,1.405115541740103210e-04,-7.188419402321978291e-01,6.803492522383079895e-03
4.080000000000000000e+09,2.183633683547492920e-06,1.453752824926267807e-04,-7.187430249458088838e-01,6.951043133099850217e-03
4.160000000000000477e+09,2.076600856524918899e-06,1.463808440803465163e-04,-7.187535431460547741e-01,7.110266306161459535e-03
4.240000000000000000e+09,1.131020777231641632e-06,1.459096609259647836e-04,-7.187034704269154028e-01,7.268516786372249475e-03
4.320000000000000000e+09,3.524578963598581372e-06,1.445622545236812545e-04,-7.187266194620189896e-01,7.430999340492513289e-03
4.400000000000000000e+09,3.756488942021272667e-06,1.428734558633025227e-04,-7.187204657900095883e-01,7.594948451083427358e-03
4.480000000000000000e+09,2.989865956378857888e-05,1.418095598277420899e-04,-7.187287313465737792e-01,7.762353008112529359e-03
4.560000000000000000e+09,3.816403976194011651e-06,1.409483340481655189e-04,-7.187069235320535654e-01,7.929476747904071546e-03
4.640000000000000000e+09,3.701944417331992608e-06,1.415463893207323260e-04,-7.186994472817791468e-01,8.100352236018877952e-03
4.720000000000000000e+09,3.493558677455496013e-06,1.434436522870500999e-04,-7.187049230169840763e-01,8.275267548020361075e-03
4.800000000000000000e+09,3.431322161524277714e-06,1.464406587153429737e-04,-7.186828095461511579e-01,8.450243265797036801e-03
4.880000000000000000e+09,3.409475722516231377e-06,1.504657637283769711e-04,-7.186853370650813089e-01,8.631137713378870396e-03
4.960000000000000000e+09,3.909808323536532738e-06,1.550088148830359579e-04,-7.186434571537470006e-01,8.813159907950569860e-03
5.040000000000000000e+09,3.552901467135606407e-06,1.599021304922003666e-04,-7.186524860742951049e-01,8.999027653336131444e-03
5.120000000000000000e+09,3.795975677795251199e-06,1.647545060677267344e-04,-7.186405234798400876e-01,9.189543086570077166e-03
5.200000000000000000e+09,4.119039614592010590e-06,1.693361111527527663e-04,-7.186273847760092925e-01,9.384478019455763306e-03
5.280000000000000000e+09,4.494394085313625114e-06,1.734915232190217750e-04,-7.186128634176529584e-01,9.584290852387530868e-03
5.360000000000000000e+09,4.892265940127299155e-06,1.771504104414088295e-04,-7.185966945981997478e-01,9.789510578940393420e-03
5.440000000000000000e+09,5.285479792567628976e-06,1.803133330407006554e-04,-7.185785310208206988e-01,1.000075114258537276e-02
5.520000000000000000e+09,5.652318052568525040e-06,1.830297528302669559e-04,-7.185579048967333238e-01,1.021872748139933222e-02
5.600000000000000000e+09,5.977439367077084142e-06,1.853737703108830756e-04,-7.185341667113156472e-01,1.044426896041197005e-02
5.680000000000000000e+09,6.251160920678079602e-06,1.874219588393179550e-04,-7.185063860573108752e-01,1.067831562156380462e-02
5.760000000000000000e+09,6.467799373799638372e-06,1.892361079987305256e-04,-7.184732014925166999e-01,1.092185550056667086e-02
5.840000000000000954e+09,6.623853664681039756e-06,1.908518719828499594e-04,-7.184326543266490450e-01,1.117571473120530616e-02
5.920000000000000000e+09,6.716673130332269998e-06,1.922726084381699689e-04,-7.183821941469784589e-01,1.144014610585931090e-02
6.000000000000000000e+09,6.743483777363742014e-06,1.934662571703118410e-04,-7.183190822788101393e-01,1.171447543427650562e-02
6.080000000000000000e+09,6.699343304564434726e-06,1.943628873790519736e-04,-7.182409349874689930e-01,1.199720588724279523e-02
6.160000000000000000e+09,6.571765276855594915e-06,1.948517108551580843e-04,-7.181459404866074037e-01,1.228640644365748026e-02
6.239999999999999046e+09,6.330379459269946555e-06,1.947779968902822192e-04,-7.180327933672714380e-01,1.257999749868534203e-02
6.320000000000000000e+09,5.911011397031167822e-06,1.939409778827185698e-04,-7.179005735951331513e-01,1.287587447488855973e-02
6.400000000000000954e+09,5.194268987242000511e-06,1.920943703060607930e-04,-7.177486555372525334e-01,1.317194854613092450e-02
6.480000000000000000e+09,3.979331756642337015e-06,1.889515454559740357e-04,-7.175766502097531419e-01,1.346615701789688653e-02
6.560000000000000000e+09,1.954321117186134135e-06,1.841977636591925075e-04,-7.173843695447651436e-01,1.375646434786055583e-02
6.640000000000000000e+09,-1.334620231928720924e-06,1.775119990461336236e-04,-7.171718039830675684e-01,1.404086095888208707e-02
6.720000000000000000e+09,-6.512618985506793217e-06,1.686003823201941989e-04,-7.169391082097188450e-01,1.431736206793527387e-02
6.799999999999999046e+09,-1.440010997116861658e-05,1.572428174941184161e-04,-7.166865921580242160e-01,1.458400714790274513e-02
6.880000000000000000e+09,-2.602739887622829802e-05,1.433531459865684365e-04,-7.164147156942973771e-01,1.483886018515187533e-02
6.960000000000000954e+09,-4.263517113553934789e-05,1.270518151407222149e-04,-7.161240861089169796e-01,1.508001080646629438e-02
7.039999999999999046e+09,-6.565626451951228799e-05,1.087480522975352087e-04,-7.158154579066456913e-01,1.530557642338429593e-02
7.120000000000000000e+09,-9.667426788628961085e-05,8.922812638633570307e-05,-7.154897345609793069e-01,1.551370560410674469e-02
7.200000000000000000e+09,-1.373552157795933327e-04,6.974297429901784489e-05,-7.151479719394245871e-01,1.570258297706584802e-02
7.280000000000000000e+09,-1.893498154428228367e-04,5.208856900117467530e-05,-7.147913831319593347e-01,1.587043596814091684e-02
7.359999999999999046e+09,-2.529692330285708557e-04,1.707982839761446286e-04,-7.144213442916281798e-01,1.601554375744741049e-02
