# Frequency, Real(S21), Imag(S21), Real(S11), Imag(S11)
4.000000000000000000e+09,3.850199525203924571e-05,1.405671945167008400e-04,-7.188444917845639992e-01,6.804877236247152024e-03
4.080000000000000000e+09,1.498556577270646875e-05,1.447185889518116150e-04,-7.187973427509440905e-01,6.954491618386146254e-03
4.160000000000000477e+09,2.063499661401461598e-06,1.463897933195617055e-04,-7.187534937335652296e-01,7.111353938487784826e-03
4.240000000000000000e+09,1.119942603522306483e-06,1.459189770567267659e-04,-7.187034269356951111e-01,7.269639006563879263e-03
4.320000000000000000e+09,3.514819660027783059e-06,1.445735015356099985e-04,-7.187265663084084766e-01,7.432169685590704622e-03
4.400000000000000000e+09,3.747565443460613578e-06,1.428860461412143849e-04,-7.187204084053848696e-01,7.596165470403757822e-03
4.480000000000000000e+09,2.988974221936752785e-05,1.418274382924651969e-04,-7.187286666781542710e-01,7.763624930858862433e-03
4.560000000000000000e+09,3.806969242255583039e-06,1.409637857945142815e-04,-7.187068564655711977e-01,7.930794265569588580e-03
4.640000000000000000e+09,3.691447460119411881e-06,1.415632149349804986e-04,-7.186993746613814515e-01,8.101723984522302136e-03
4.720000000000000000e+09,3.481869068971554934e-06,1.434619500638058937e-04,-7.187048430769298335e-01,8.276703857203936143e-03
4.800000000000000000e+09,3.418530416609034662e-06,1.464598578753838372e-04,-7.186827240657527316e-01,8.451732620927609671e-03
4.880000000000000000e+09,3.396107245355782107e-06,1.504862090475973433e-04,-7.186852441898606836e-01,8.632699560119777571e-03
4.960000000000000000e+09,3.896787643587606947e-06,1.550300059898731056e-04,-7.186433459197989482e-01,8.814788118871317787e-03
5.040000000000000000e+09,3.540570736816535707e-06,1.599240688607529107e-04,-7.186523755387207446e-01,9.000720694255823218e-03
5.120000000000000000e+09,3.785476876302538129e-06,1.647772741519652198e-04,-7.186404025420156660e-01,9.191312751712508305e-03
5.200000000000000000e+09,4.111218317015066148e-06,1.693597305081137193e-04,-7.186272521069797525e-01,9.386329436016629599e-03
5.280000000000000000e+09,4.490008265705376020e-06,1.735160369008315897e-04,-7.186127174351308877e-01,9.586229713157862556e-03
5.360000000000000000e+09,5.712243217266480469e-06,1.771947560592402639e-04,-7.185742920762265840e-01,9.792314438083284805e-03
5.440000000000000000e+09,5.289829064859665729e-06,1.803397866359821109e-04,-7.185783522589100913e-01,1.000288473003531874e-02
5.520000000000000000e+09,5.661807274575186688e-06,1.830572351514439229e-04,-7.185577056656745620e-01,1.022097004308538011e-02
