# Frequency, Real(S21), Imag(S21), Real(S11), Imag(S11)
4.000000000000000000e+09,3.785831751954403258e-05,1.405117703337262886e-04,-7.188419287620415599e-01,6.803798235350042196e-03
4.080000000000000000e+09,1.289139878492574494e-05,1.448654172906113972e-04,-7.187508776306117397e-01,6.952180216370466327e-03
4.160000000000000477e+09,2.072575509820992887e-06,1.463835923604825352e-04,-7.187535280432233442e-01,7.110599176175742830e-03
4.240000000000000000e+09,1.127616319887319975e-06,1.459125202354200047e-04,-7.187034571197863375e-01,7.268860226611582181e-03
4.320000000000000000e+09,3.521581226531935592e-06,1.445657052067680448e-04,-7.187266032114932868e-01,7.431357507809424265e-03
4.400000000000000000e+09,3.753748416586919748e-06,1.428773172187940599e-04,-7.187204482462297150e-01,7.595320896333506572e-03
4.480000000000000000e+09,2.989593628545083979e-05,1.418150431927705103e-04,-7.187287115817992955e-01,7.762742255842196813e-03
4.560000000000000000e+09,3.813507632273255098e-06,1.409530695882403118e-04,-7.187069030290220706e-01,7.929879934553163076e-03
4.640000000000000000e+09,3.698722553960040502e-06,1.415515432065869576e-04,-7.186994250812760443e-01,8.100772010488005437e-03
4.720000000000000000e+09,3.489971059888956194e-06,1.434492574674203508e-04,-7.187048985882948937e-01,8.275707078989389884e-03
4.800000000000000000e+09,3.427397263422067117e-06,1.464465386807004422e-04,-7.186827834154462247e-01,8.450699010849691689e-03
4.880000000000000000e+09,3.405374813494278925e-06,1.504720241679052719e-04,-7.186853086861957340e-01,8.631615640344984103e-03
4.960000000000000000e+09,3.905816364101185295e-06,1.550153021665792393e-04,-7.186434230977306603e-01,8.813658129354045093e-03
5.040000000000000000e+09,3.549121789468884178e-06,1.599088456657696169e-04,-7.186524522872513865e-01,8.999545690130903233e-03
5.120000000000000000e+09,3.792760183394649179e-06,1.647614729862092032e-04,-7.186404865144039311e-01,9.190084554643975986e-03
5.200000000000000000e+09,4.116648165414023584e-06,1.693433366671363025e-04,-7.186273442263747535e-01,9.385044485216154087e-03
5.280000000000000000e+09,4.493059711809080244e-06,1.734990207281179799e-04,-7.186128188006366546e-01,9.584884055034251574e-03
5.360000000000000000e+09,5.712003759758154083e-06,1.771769390858848458e-04,-7.185744146914910813e-01,9.790896896136333863e-03
5.440000000000000000e+09,5.286832876569775529e-06,1.803214193372550751e-04,-7.185784763905305184e-01,1.000140387945084100e-02
5.520000000000000000e+09,5.655252421300802550e-06,1.830381507548638383e-04,-7.185578440144045897e-01,1.021941353181653710e-02
5.600000000000000000e+09,5.982098149237215634e-06,1.853824876247640212e-04,-7.185340984445934831e-01,1.044499111049107185e-02
5.680000000000000000e+09,6.257689047513490858e-06,1.874310049249602352e-04,-7.185063089265931735e-01,1.067907703577184765e-02
5.760000000000000000e+09,6.476350217225547602e-06,1.892454978772628224e-04,-7.184731135112988332e-01,1.092265975638259320e-02
5.840000000000000954e+09,6.634591689749640039e-06,1.908616428516547898e-04,-7.184325527773836040e-01,1.117656578437455257e-02
5.920000000000000000e+09,6.729773307868075973e-06,1.922828375416982402e-04,-7.183820753372648360e-01,1.144104812730787311e-02
6.000000000000000000e+09,6.759129520970608008e-06,1.934770983670642001e-04,-7.183189414025454855e-01,1.171543250256908662e-02
6.080000000000000000e+09,6.717734325648919532e-06,1.943746173587446711e-04,-7.182407661563422474e-01,1.199822167543526316e-02
6.160000000000000000e+09,6.593142965180270136e-06,1.948647963152323650e-04,-7.181457368573591626e-01,1.228748399371900474e-02
6.239999999999999046e+09,6.355085175807231344e-06,1.947931755992355273e-04,-7.180325472830958455e-01,1.258113907561436706e-02
6.320000000000000000e+09,5.939590475304639766e-06,1.939593463437762268e-04,-7.179002767155729936e-01,1.287708146400675865e-02
6.400000000000000954e+09,5.227634167653346682e-06,1.921174651765354788e-04,-7.177482989586194684e-01,1.317322136963562478e-02
6.480000000000000000e+09,4.018996053097323190e-06,1.889813856277442676e-04,-7.175762245825461072e-01,1.346749506307475669e-02
6.560000000000000000e+09,2.002707180106857976e-06,1.842368855821131237e-04,-7.173838651908285291e-01,1.375786590722612168e-02
6.640000000000000000e+09,-1.273804523309028940e-06,1.775633183850861387e-04,-7.171712110163217524e-01,1.404232317861145961e-02
6.720000000000000000e+09,-6.433944652018701760e-06,1.686669742991791913e-04,-7.169384166592569496e-01,1.431888090237560911e-02
6.799999999999999046e+09,-1.429596093982759934e-05,1.573275506943123557e-04,-7.166857920960884032e-01,1.458557732947621428e-02
6.880000000000000000e+09,-2.588751799515088712e-05,1.434581638667902892e-04,-7.164137973663119441e-01,1.484047520088382921e-02
6.960000000000000954e+09,-4.244628862559609965e-05,1.271775721553661275e-04,-7.161230400684026609e-01,1.508166288429502525e-02
7.039999999999999046e+09,-6.540186125783502128e-05,1.088923473864464726e-04,-7.158142751519306346e-01,1.530725653575363762e-02
7.120000000000000000e+09,-9.633458392676371579e-05,8.938477077398327721e-05,-7.154884066756129757e-01,1.551540347537264629e-02
7.200000000000000000e+09,-1.369075980264304008e-04,6.990026836094039475e-05,-7.151464912327212264e-01,1.570428710920836191e-02
7.280000000000000000e+09,-1.887695065203026244e-04,5.222761313274218225e-05,-7.147897427827442085e-01,1.587213367759589960e-02
7.359999999999999046e+09,-2.542768595212332159e-04,4.148022968696030415e-05,-7.143566316963544383e-01,1.631232130093747054e-02
7.440000000000000000e+09,-3.320856683550971536e-04,3.255317022964439788e-05,-7.140374251837759978e-01,1.613789109639469574e-02
7.520000000000000000e+09,-4.254706712768451492e-04,3.729668375683205467e-05,-7.136451258696804301e-01,1.623256230669140737e-02
7.599999999999999046e+09,-5.336192023811874800e-04,5.731463697109136484e-05,-7.132445457281544332e-01,1.629974896762522579e-02
7.680000000000000000e+09,-6.556672172565557047e-04,9.746295147578984928e-05,-7.128377768333963305e-01,1.633808091770368523e-02
7.760000000000000954e+09,-7.896332766802525820e-04,1.629917937075360274e-04,-7.124271008333808997e-01,1.634632762758731275e-02
7.840000000000000000e+09,-9.322158518944101760e-04,2.593433959838630908e-04,-7.120149887335464056e-01,1.632342515426165458e-02
7.919999999999999046e+09,-1.078619246671542195e-03,3.918866762258918328e-04,-7.116040968719198334e-01,1.626850587112985136e-02
8.000000000000000000e+09,-1.222425277989938434e-03,5.655894284012090607e-04,-7.111972581935205318e-01,1.618093047175504090e-02
8.080000000000000000e+09,-1.355528400179854473e-03,7.846325321271363593e-04,-7.107974679520625561e-01,1.606032145534500022e-02
8.159999999999999046e+09,-1.468152247961217443e-03,1.051974600587801721e-03,-7.104078630609077516e-01,1.590659712367822887e-02
8.240000000000000000e+09,-1.548964323255032881e-03,1.368880157554391462e-03,-7.100316944567706123e-01,1.572000487494391169e-02
8.320000000000000954e+09,-1.585303900365986124e-03,1.734429281901850393e-03,-7.096722920720481831e-01,1.550115232032618466e-02
8.400000000000000000e+09,-1.563535254376970888e-03,2.145031467800678771e-03,-7.093330223208064167e-01,1.525103458759883603e-02
8.480000000000000000e+09,-1.469534587749296919e-03,2.593971522785872355e-03,-7.090172383297113079e-01,1.497105600030635905e-02
8.560000000000000000e+09,-1.289314202041237211e-03,3.071019727323732410e-03,-7.087282236523810841e-01,1.466304435096047777e-02
8.640000000000000000e+09,-1.009781596265889271e-03,3.562142664802707588e-03,-7.084691306268272593e-01,1.432925592379905889e-02
8.720000000000000000e+09,-6.196242412661143346e-04,4.049354397597400984e-03,-7.082429150656520678e-01,1.397236979315223150e-02
8.800000000000000000e+09,-1.103022989601533204e-04,4.510749998921584000e-03,-7.080522694418038832e-01,1.359547003826837297e-02
8.880000000000000000e+09,5.228782691706822206e-04,4.920764317655645925e-03,-7.078995570958793726e-01,1.320201528488267918e-02
8.959999999999998093e+09,1.279651646798088535e-03,5.250697978456821124e-03,-7.077867503454493558e-01,1.279579532418857052e-02
9.040000000000000000e+09,2.153690362999263232e-03,5.469548399863432588e-03,-7.077153754008048692e-01,1.238087553813679506e-02
9.120000000000000000e+09,3.131584658306063498e-03,5.545177305024264619e-03,-7.076864669443435618e-01,1.196153040750389668e-02
9.200000000000000000e+09,4.191988951075044031e-03,5.445831530040060389e-03,-7.077005349037323034e-01,1.154216832148789208e-02
9.280000000000000000e+09,5.305038830054456360e-03,5.142017405396728802e-03,-7.077575453833890862e-01,1.112725041754007542e-02
9.360000000000000000e+09,6.432157395651373621e-03,4.608699877532600360e-03,-7.078569170326789450e-01,1.072120675056951501e-02
9.440000000000000000e+09,7.526380657390984580e-03,3.827762327511530227e-03,-7.079975332068869642e-01,1.032835337718025596e-02
9.520000000000000000e+09,8.533333293605060987e-03,2.790617215940740560e-03,-7.081777693827755460e-01,9.952813888323549726e-03
9.600000000000000000e+09,9.392973460941450581e-03,1.500804059654873603e-03,-7.083955343882423206e-01,9.598448764641285061e-03
9.680000000000000000e+09,1.004219257184225771e-02,-2.364689825356950433e-05,-7.086483231882858558e-01,9.268795338677728035e-03
9.760000000000000000e+09,1.041829777044662141e-02,-1.748362717290786062e-03,-7.089332783047616049e-01,8.967020493519049437e-03
9.840000000000000000e+09,1.046331720802576130e-02,-3.621608447956538301e-03,-7.092472567001595340e-01,8.695887386493241292e-03
9.920000000000000000e+09,1.019184562952338627e-02,-5.549301064074235908e-03,-7.095868986136238954e-01,8.457736555998886241e-03
1.000000000000000000e+10,9.448661200224809514e-03,-7.530640777072175607e-03,-7.099486951740419105e-01,8.254480900842907018e-03
1.008000000000000000e+10,8.208818757812987379e-03,-9.368543590584973296e-03,-7.103290518052428615e-01,8.087613291425394674e-03
1.016000000000000000e+10,6.621153385935016865e-03,-1.100925257669387730e-02,-7.107243450940305962e-01,7.958224911957396605e-03
1.024000000000000000e+10,4.657810835747906719e-03,-1.234037650644235345e-02,-7.111309713457673043e-01,7.867032059688633741e-03
1.032000000000000000e+10,2.386371028956742364e-03,-1.326565326883937662e-02,-7.115453858139315635e-01,7.814408947245169573e-03
1.040000000000000000e+10,-9.851349169480373875e-05,-1.370531623392319369e-02,-7.119641321905124665e-01,7.800424063058889086e-03
1.048000000000000000e+10,-2.679552750495743652e-03,-1.360445159446446381e-02,-7.123838625342711062e-01,7.824877830278549953e-03
1.056000000000000000e+10,-5.224064474239013128e-03,-1.293999141733774561e-02,-7.128013482127162348e-01,7.887339668543623394e-03
1.064000000000000000e+10,-7.593547463546537063e-03,-1.172531674272333548e-02,-7.132134826904084068e-01,7.987182860461877754e-03
1.072000000000000000e+10,-9.654696899688983841e-03,-1.001164832104204511e-02,-7.136172770734473536e-01,8.123616054109990964e-03
1.080000000000000000e+10,-1.129067080894024036e-02,-7.885776296566553156e-03,-7.140098493212370112e-01,8.295710441226821982e-03
1.088000000000000000e+10,-1.241128855562407748e-02,-5.464166357918581393e-03,-7.143884077956403900e-01,8.502421818200676940e-03
1.096000000000000000e+10,-1.296092838499096969e-02,-2.883989677699949107e-03,-7.147502298422316880e-01,8.742606813631613460e-03
1.104000000000000000e+10,-1.292318305313975083e-02,-2.920551382413259876e-04,-7.150926358441739294e-01,9.015032279736080734e-03
1.112000000000000191e+10,-1.232177186438734688e-02,2.167106967659951540e-03,-7.154129593113703889e-01,9.318376725429670937e-03
1.120000000000000000e+10,-1.121770583574644917e-02,4.362693723429530643e-03,-7.157085136812951776e-01,9.651222240196816529e-03
1.128000000000000000e+10,-9.703165152265373627e-03,6.187427868666287023e-03,-7.159765569176351763e-01,1.001203502860436266e-02
1.135999999999999809e+10,-7.892900204432845221e-03,7.564808467663654452e-03,-7.162142555467100324e-01,1.039913227104326439e-02
1.143999999999999809e+10,-5.914167400322619360e-03,8.453286360923141160e-03,-7.164186507065978260e-01,1.081063276083407340e-02
1.152000000000000000e+10,-3.896256152450724639e-03,8.847218683155742489e-03,-7.165866299668736117e-01,1.124438864750581038e-02
1.160000000000000000e+10,-1.960578849209606428e-03,8.774791243938259017e-03,-7.167149102457827103e-01,1.169789569719609235e-02
1.168000000000000191e+10,-2.121237028423407934e-04,8.293354188342814612e-03,-7.168000392222462214e-01,1.216818028696872202e-02
1.176000000000000000e+10,1.267144986815310886e-03,7.482780109264010673e-03,-7.168384251051493905e-01,1.265166260043895305e-02
1.184000000000000000e+10,2.422577103048596976e-03,6.437536210892831623e-03,-7.168264072629436656e-01,1.314399841504653235e-02
1.191999999999999809e+10,3.228660759512449845e-03,5.258179172150809211e-03,-7.167603829806772353e-01,1.363990617559666767e-02
1.200000000000000000e+10,3.688401216193697499e-03,4.042956334876733442e-03,-7.166370073675192298e-01,1.413299299330185964e-02
1.208000000000000000e+10,3.584654976871451404e-03,2.887023162596714584e-03,-7.164534829016871997e-01,1.461560278886584775e-02
1.216000000000000000e+10,3.704131260429742271e-03,1.841701538424533532e-03,-7.162079505136256241e-01,1.507872199446958113e-02
1.224000000000000191e+10,3.373275432022217711e-03,9.787019552701704816e-04,-7.158999824346724550e-01,1.551199155415115480e-02
1.232000000000000000e+10,2.945162657045509447e-03,-3.326431193701820128e-04,-7.155311558766778157e-01,1.590388521300445043e-02
1.239999999999999809e+10,2.373287089723804741e-03,-1.622699617762426733e-04,-7.151038970391062621e-01,1.630028148024784823e-02
1.247999999999999809e+10,1.850757275351865407e-03,-3.926204420934172046e-04,-7.146308062449512333e-01,1.651432584875092355e-02
1.256000000000000000e+10,1.337457319696833255e-03,-5.111690423349526122e-04,-7.140124502148965657e-01,1.654974962618005821e-02
1.264000000000000000e+10,9.665641680742151874e-04,-4.731599128299676616e-04,-7.135797747793696244e-01,1.681692673921335660e-02
1.272000000000000000e+10,6.579794957356138512e-04,-3.789553103825340661e-04,-7.130351129295336987e-01,1.683197771382668323e-02
1.280000000000000191e+10,4.413325123258407773e-04,-2.493816459318070819e-04,-7.125025803332718510e-01,1.675273729187732458e-02
1.288000000000000000e+10,3.031853690261047366e-04,-1.152495485364494923e-04,-7.120016712687115001e-01,1.658295558816239024e-02
1.295999999999999809e+10,2.238580619858333875e-04,3.861996166802444605e-06,-7.115503959596819472e-01,1.633163507115382995e-02
1.303999999999999809e+10,1.827454376233494503e-04,9.934409507824152035e-05,-7.111635059043708296e-01,1.601229538170294633e-02
1.312000000000000000e+10,1.623717312659853410e-04,1.712561815462251575e-04,-7.108511422192853590e-01,1.564155044360288765e-02
1.320000000000000000e+10,1.505708499358960944e-04,2.250263109532200110e-04,-7.106181855230645494e-01,1.523726428742085484e-02
1.328000000000000000e+10,1.408715851998265179e-04,2.682379754022621069e-04,-7.104644105728614711e-01,1.481665426425488041e-02
1.335999999999999809e+10,1.316893477677637432e-04,3.082181052214120641e-04,-7.103853539411920659e-01,1.439469846393224943e-02
1.344000000000000000e+10,1.250710111121864298e-04,3.505852735058415017e-04,-7.103736573948777888e-01,1.398309587594744573e-02
1.351999999999999809e+10,1.255057180266538528e-04,3.984687868731219117e-04,-7.104205905534375365e-01,1.358987817328059268e-02
1.359999999999999809e+10,1.388910290144649662e-04,4.519741653472412763e-04,-7.105174759838922549e-01,1.321963578538962875e-02
1.368000000000000000e+10,1.713913310186709828e-04,5.076735578990800588e-04,-7.106568049454256020e-01,1.287422737333611573e-02
1.376000000000000000e+10,2.278550976770472294e-04,5.582982207996088891e-04,-7.108329096123954249e-01,1.255379100702326382e-02
1.384000000000000000e+10,3.097392955192034112e-04,5.931506307212549255e-04,-7.110421338138580571e-01,1.225785108095200394e-02
1.392000000000000000e+10,4.130087647338207294e-04,5.997806127495015904e-04,-7.112825226578218807e-01,1.198630887704027655e-02
1.400000000000000000e+10,5.269424411560132745e-04,5.670467098502079972e-04,-7.115531384745793497e-01,1.174012332765105200e-02
1.407999999999999809e+10,6.348297752296406301e-04,4.889299567840527366e-04,-7.118531955860477600e-01,1.152155116311611577e-02
1.415999999999999809e+10,7.169773548509328614e-04,3.677762974146811504e-04,-7.121812560153768512e-01,1.133392760807046956e-02
1.424000000000000000e+10,7.554405771481028731e-04,2.155027677073425869e-04,-7.125347048514641957e-01,1.118110318163344045e-02
1.432000000000000000e+10,7.389784430660115578e-04,5.193337398074371770e-05,-7.129096202103022417e-01,1.106675208058141915e-02
1.440000000000000000e+10,6.664616708165457858e-04,-9.943233425095156230e-05,-7.133010088131217508e-01,1.099378359214430931e-02
1.448000000000000000e+10,5.475217579961323645e-04,-2.168802411807534527e-04,-7.137032602637919387e-01,1.096401482886301057e-02
1.456000000000000000e+10,4.002836600844988631e-04,-2.854279976393121884e-04,-7.141106291877500345e-01,1.097814396078269396e-02
1.463999999999999809e+10,2.470207207499232078e-04,-2.998361637277614854e-04,-7.145175860383587985e-01,1.103595621453240354e-02
1.471999999999999809e+10,1.091028924115295480e-04,-2.650338611602628047e-04,-7.149189506839538355e-01,1.113663526352260194e-02
1.480000000000000000e+10,2.605516297855901397e-06,-1.941233674894708044e-04,-7.153098003357111212e-01,1.127904084132340216e-02
1.488000000000000000e+10,-6.442765743013727838e-05,-1.047165209381670931e-04,-7.156852065362464543e-01,1.146183068349485891e-02
1.496000000000000191e+10,-9.259686025706759954e-05,-1.464448984195312978e-05,-7.160399079090074004e-01,1.168333633624555473e-02
1.504000000000000191e+10,-8.969153742510244587e-05,6.188480213450875031e-05,-7.163680760014784488e-01,1.194115166451026680e-02
1.511999999999999809e+10,-6.770129836140508883e-05,1.167735397423507230e-04,-7.166633741256108747e-01,1.223148169988814114e-02
1.519999999999999809e+10,-3.920913912614034004e-05,1.486168837123669434e-04,-7.169195009514706118e-01,1.254844416221437796e-02
1.527999999999999809e+10,-1.428269262350364546e-05,1.613978281815648308e-04,-7.171312788075265843e-01,1.288368039138475252e-02
1.536000000000000000e+10,1.203898828239791650e-06,1.619808798208841613e-04,-7.172960564904464764e-01,1.322668861113450618e-02
1.544000000000000000e+10,5.527845050810865045e-06,1.575488712706592199e-04,-7.174148656052559136e-01,1.356607687010636179e-02
1.552000000000000191e+10,-1.348243707917457727e-04,1.769271585379004271e-04,-7.174926840436844921e-01,1.389144353878977653e-02
1.560000000000000191e+10,-1.273306584153970078e-05,1.553720354959591747e-04,-7.175375290023143782e-01,1.419514089220831263e-02
1.567999999999999809e+10,-2.871896046656645347e-05,1.641874234668207915e-04,-7.175587385190648204e-01,1.447317306944396337e-02
