# Frequency, Real(S21), Imag(S21), Real(S11), Imag(S11)
4.000000000000000000e+09,5.136512479434503090e-05,1.395364129100554857e-04,-7.188442906187509918e-01,6.807571929647855333e-03
4.080000000000000000e+09,2.664236384058439703e-05,1.440357999341329164e-04,-7.188074432117922408e-01,6.959735571247933385e-03
4.160000000000000477e+09,2.080220411350612385e-06,1.463726526810985127e-04,-7.187533347263490580e-01,7.114216642660844275e-03
4.240000000000000000e+09,1.135471336554123202e-06,1.459048255837541155e-04,-7.187033110410085968e-01,7.272602857269310633e-03
4.320000000000000000e+09,3.526343261437886104e-06,1.445612770757037169e-04,-7.187264091927108023e-01,7.435221847830455685e-03
4.400000000000000000e+09,3.757675493335538945e-06,1.428772342870115791e-04,-7.187202417145730493e-01,7.599313626133606669e-03
4.480000000000000000e+09,2.988412066130841929e-05,1.418179698645604899e-04,-7.187284707185155330e-01,7.766864816256608371e-03
4.560000000000000000e+09,3.816176798781007465e-06,1.409623314784236043e-04,-7.187066687929709596e-01,7.934144046100788730e-03
4.640000000000000000e+09,3.700857853016445046e-06,1.415651938783268221e-04,-7.186991754793025100e-01,8.105179891876541920e-03
4.720000000000000000e+09,3.491697288586177579e-06,1.434668065066226604e-04,-7.187046131236755064e-01,8.280261151987475254e-03
4.800000000000000000e+09,3.428108499025442188e-06,1.464675567631063544e-04,-7.186824995292542262e-01,8.455412767548513286e-03
4.880000000000000000e+09,3.404930629948257026e-06,1.504960045863259111e-04,-7.186849892344122637e-01,8.636488932882034966e-03
4.960000000000000000e+09,3.903618431014146969e-06,1.550421951360438089e-04,-7.186431102234923651e-01,8.818703536094749107e-03
5.040000000000000000e+09,3.545093852637640777e-06,1.599387267645924757e-04,-7.186521060571512409e-01,9.004771674863697867e-03
5.120000000000000000e+09,3.786155359846433476e-06,1.647946559124387645e-04,-7.186401159047789422e-01,9.195497850021239553e-03
5.200000000000000000e+09,4.106920361800927327e-06,1.693804068008233953e-04,-7.186269470733428477e-01,9.390654506163444507e-03
5.280000000000000000e+09,4.479658434924253827e-06,1.735407241235376030e-04,-7.186123926682739249e-01,9.590701000711240182e-03
5.360000000000000000e+09,4.874563011887746921e-06,1.772053623015597875e-04,-7.185961874669023475e-01,9.796167406936534539e-03
5.440000000000000000e+09,5.264419747080794769e-06,1.803748765660835173e-04,-7.185779836708585666e-01,1.000766888929705521e-02
5.520000000000000000e+09,5.627470160955969090e-06,1.830986630501468522e-04,-7.185573128817229760e-01,1.022592178181521740e-02
5.600000000000000000e+09,5.948325230993942040e-06,1.854507008619731207e-04,-7.185335248329945967e-01,1.045175705535687088e-02
5.680000000000000000e+09,6.217252894364882496e-06,1.875074403986242040e-04,-7.185056881782071470e-01,1.068611661781499259e-02
5.760000000000000000e+09,6.428515631290685616e-06,1.893304753879780926e-04,-7.184724402731106352e-01,1.092999070286732044e-02
5.840000000000000954e+09,6.578554267859011068e-06,1.909553165532160710e-04,-7.184318208213819057e-01,1.118420806824038834e-02
5.920000000000000000e+09,6.664650459088059957e-06,1.923850250722064590e-04,-7.183812771036730549e-01,1.144902462589706370e-02
6.000000000000000000e+09,6.683944603553999977e-06,1.935872017709423494e-04,-7.183180670031962256e-01,1.172376963703322152e-02
6.080000000000000000e+09,6.631339469968186889e-06,1.944913517912036762e-04,-7.182398019143875212e-01,1.200694954946966014e-02
6.160000000000000000e+09,6.494055501254790525e-06,1.949858771246560328e-04,-7.181446638361548285e-01,1.229663587314988246e-02
6.239999999999999046e+09,6.241155453263924177e-06,1.949148600840255093e-04,-7.180313401134358342e-01,1.259075042272471932e-02
6.320000000000000000e+09,5.807415251351005401e-06,1.940759162960186757e-04,-7.178989027558145830e-01,1.288718875815001060e-02
6.400000000000000954e+09,5.071631498861967389e-06,1.922207058565501023e-04,-7.177467177306247059e-01,1.318386084352598381e-02
6.480000000000000000e+09,3.830042261336752830e-06,1.890601718775734895e-04,-7.175743874352152885e-01,1.347870139453141193e-02
6.560000000000000000e+09,1.766271280164886329e-06,1.842770172447711740e-04,-7.173817151507853040e-01,1.376967089102076880e-02
6.640000000000000000e+09,-1.580056322616040366e-06,1.775478579217952232e-04,-7.171686828073801090e-01,1.405475438089363177e-02
6.720000000000000000e+09,-6.843048548520891264e-06,1.685773456167432010e-04,-7.169354368781509779e-01,1.433196031496883870e-02
6.799999999999999046e+09,-1.485493619263124777e-05,1.571456604011146267e-04,-7.166822795445315641e-01,1.459932000864909429e-02
6.880000000000000000e+09,-2.666081740303850390e-05,1.431697806151250143e-04,-7.164096635400952762e-01,1.485488789479610418e-02
6.960000000000000954e+09,-4.351904039040846699e-05,1.267774751457990717e-04,-7.161181898129045376e-01,1.509674266726806872e-02
7.039999999999999046e+09,-6.688243695401863663e-05,1.083913636974683409e-04,-7.158086074979931324e-01,1.532298943312127015e-02
7.120000000000000000e+09,-9.835584535096910546e-05,8.881865754459071895e-05,-7.154818158674537409e-01,1.553176311707513482e-02
7.200000000000000000e+09,-1.396260557484790832e-04,6.934073134802013210e-05,-7.151388679817087812e-01,1.572123339357917732e-02
7.280000000000000000e+09,-1.923615396082396529e-04,5.179494774113936454e-05,-7.147809757509232531e-01,1.588961150871061323e-02
7.359999999999999046e+09,-2.589523126305648382e-04,4.136633535115324251e-05,-7.143468041037653871e-01,1.632981808341014626e-02
7.440000000000000000e+09,-3.379905184591337330e-04,3.299934297239497799e-05,-7.140260374164807411e-01,1.615620094768275422e-02
7.520000000000000000e+09,-4.327965517230595400e-04,3.866169866388483121e-05,-7.136322669420227527e-01,1.625113729303006432e-02
7.599999999999999046e+09,-5.424944658424614213e-04,6.004937076560762192e-05,-7.132301164967518314e-01,1.631846374211933653e-02
7.680000000000000000e+09,-6.661479057543969037e-04,1.021262507981850805e-04,-7.128216877796178519e-01,1.635679111042903644e-02
7.760000000000000954e+09,-8.016668058344739427e-04,1.702508608838321485e-04,-7.124092752717198218e-01,1.636486996094307228e-02
7.840000000000000000e+09,-9.455994860348934140e-04,2.699653634944173403e-04,-7.119953662566345098e-01,1.634161804854512151e-02
7.919999999999999046e+09,-1.092954908010495716e-03,4.067190092428070881e-04,-7.115826369594224765e-01,1.628615064328116369e-02
8.000000000000000000e+09,-1.237072992392984280e-03,5.855268115356117731e-04,-7.111739439055951850e-01,1.619781320665894878e-02
8.080000000000000000e+09,-1.369324783524857730e-03,8.107082864911518104e-04,-7.108708009753482715e-01,1.607851511468950251e-02
8.159999999999999046e+09,-1.480318705778731030e-03,1.084735122625881103e-03,-7.103809015502520197e-01,1.592126701816484746e-02
8.240000000000000000e+09,-1.557658090396310622e-03,1.409141901008349133e-03,-7.100030045348403318e-01,1.573320983830859762e-02
8.320000000000000954e+09,-1.588553057711095812e-03,1.782618549239861627e-03,-7.096419847378065970e-01,1.551265183159294091e-02
8.400000000000000000e+09,-1.559012086407927499e-03,2.201209075040377536e-03,-7.093012465966072044e-01,1.526059406564835540e-02
