# Frequency, Real(S21), Imag(S21), Real(S11), Imag(S11), Amp(S21), Amp(S11)
2.000000000000000000e+09,4.616322253812136524e-05,5.609388082036413561e-05,-7.197370796648531188e-01,-3.193659083363225779e-03,7.264686215242426330e-05,7.197441651745652980e-01
2.160000000000000000e+09,4.959192990081458729e-05,6.469466939225594106e-05,-7.197800729165233502e-01,-3.457354261221690702e-03,8.151539584066683924e-05,7.197883763066775797e-01
2.320000000000000000e+09,3.391243086106576190e-05,6.816521247634678795e-05,-7.199115707306884548e-01,-3.702419823201474197e-03,7.613507180565385929e-05,7.199210912207492097e-01
2.480000000000000000e+09,2.744073070572528511e-05,7.447682440642485022e-05,-7.200405153517374091e-01,-3.948510813280124362e-03,7.937122321931024658e-05,7.200513415622792346e-01
2.640000000000000477e+09,9.374494176409803683e-06,8.662614488056017922e-05,-7.189039078959844620e-01,-4.188127351907531583e-03,8.713191216730723984e-05,7.189161072050298529e-01
2.800000000000000477e+09,1.546853958497875400e-05,8.221588020576929914e-05,-7.187700947771927806e-01,-4.418367254398776652e-03,8.365839273439015214e-05,7.187836747695439676e-01
2.960000000000000000e+09,4.436023070415656438e-06,8.684362141329226474e-05,-7.188114401570849799e-01,-4.683247449349003076e-03,8.695684493388945496e-05,7.188266962956888495e-01
3.120000000000000000e+09,1.668291481016188590e-06,9.245573479825077768e-05,-7.188318411368166405e-01,-4.955843437957449527e-03,9.247078508128992271e-05,7.188489244732353400e-01
3.280000000000000000e+09,3.429650736569405596e-06,9.731837628379659414e-05,-7.188475718197534503e-01,-5.234650677681178081e-03,9.737879064092690314e-05,7.188666309398934473e-01
3.440000000000000000e+09,-7.829529866319537973e-07,1.032749162890153258e-04,-7.188705603600963334e-01,-5.518177251936074411e-03,1.032778841276408031e-04,7.188917392991955868e-01
3.600000000000000000e+09,1.530691316711277137e-06,1.127068606667735149e-04,-7.188738648461587832e-01,-5.809202070009180166e-03,1.127172544789241783e-04,7.188973364727008208e-01
3.760000000000000477e+09,-2.502705177519316982e-06,1.256446461350714506e-04,-7.189094841075588382e-01,-6.107912958447787345e-03,1.256695692505266186e-04,7.189354302999013679e-01
3.920000000000000000e+09,-5.493886789822038350e-07,1.382323441620406774e-04,-7.188931618933958045e-01,-6.415678664516054341e-03,1.382334358990380319e-04,7.189217893135598780e-01
4.080000000000000000e+09,2.874344949278557427e-07,1.456718238574247943e-04,-7.189037234435187163e-01,-6.733349497034085349e-03,1.456721074349426532e-04,7.189352554829986364e-01
4.240000000000000000e+09,1.293519298569718489e-06,1.465492821752438870e-04,-7.189165130282111349e-01,-7.062334065211605186e-03,1.465549906971953884e-04,7.189512008941154608e-01
4.400000000000000000e+09,1.629380742849887277e-06,1.437672364346940558e-04,-7.189215327190630056e-01,-7.405393615298332816e-03,1.437764694018962050e-04,7.189596720691114884e-01
