# Frequency, Real(S21), Imag(S21), Real(S11), Imag(S11), Amp(S21), Amp(S11)
2.000000000000000000e+09,3.737403538274381836e-05,5.375430384257901375e-05,-7.197528329338584996e-01,-3.187559625170473948e-03,6.547017414358153502e-05,7.197598912503244684e-01
2.160000000000000000e+09,6.667923393631085055e-05,6.380171751275761781e-05,-7.198172739097236095e-01,-3.461832929273592728e-03,9.228639875903160348e-05,7.198255983959283011e-01
2.320000000000000000e+09,4.423577494414844232e-05,7.105663784002743712e-05,-7.199081814064081097e-01,-3.716173399274273065e-03,8.370095319671197909e-05,7.199177728050719649e-01
2.480000000000000000e+09,2.676759448952413295e-05,7.422149535367538885e-05,-7.200134610517882061e-01,-3.949284652733382923e-03,7.890078888890312994e-05,7.200242919131570885e-01
2.640000000000000477e+09,9.481254637038405162e-06,8.390607872824404996e-05,-7.188085641184059904e-01,-4.202816456061769790e-03,8.444006298578093613e-05,7.188208507800312175e-01
2.800000000000000477e+09,1.562926804345187749e-05,8.223131193878677821e-05,-7.187906005086204253e-01,-4.426040567830680922e-03,8.370342097398481929e-05,7.188042273210775157e-01
2.960000000000000000e+09,2.466680783572187582e-06,8.722046924027843724e-05,-7.188143504520616567e-01,-4.697278159749051704e-03,8.725534234980917713e-05,7.188296980773187794e-01
3.120000000000000000e+09,-8.934316175162953967e-07,9.276899663502810329e-05,-7.188403423115720114e-01,-4.972666606588968009e-03,9.277329872719322439e-05,7.188575416226766768e-01
3.280000000000000000e+09,5.931241673785034303e-08,9.781297726227077276e-05,-7.188458323246569304e-01,-5.255178036900987580e-03,9.781299524537767902e-05,7.188650412606863993e-01
3.440000000000000000e+09,-2.584774800733965561e-07,1.038305304671495227e-04,-7.188690552955517843e-01,-5.542072215032293504e-03,1.038308521957581208e-04,7.188904180930190124e-01
3.600000000000000000e+09,1.754473027589251242e-05,1.128317058670907480e-04,-7.188787967995510231e-01,-5.837361156093222661e-03,1.141876149559640363e-04,7.189024963604151441e-01
3.760000000000000477e+09,-1.097872097375141582e-06,1.263325067907415298e-04,-7.188729027354704426e-01,-6.142092449929728061e-03,1.263372771401020391e-04,7.188991414565638616e-01
3.920000000000000000e+09,-6.020826358045516294e-07,1.389445611380876050e-04,-7.188964964075461594e-01,-6.455050829659294762e-03,1.389458656216733179e-04,7.189254761296601792e-01
4.080000000000000000e+09,3.299591012217898524e-07,1.464438164216711879e-04,-7.189081752657292546e-01,-6.780100916969340578e-03,1.464441881439909154e-04,7.189401464881097770e-01
4.240000000000000000e+09,1.444756876003416902e-06,1.473750770749808286e-04,-7.189225134705048426e-01,-7.118083661277038211e-03,1.473821585718139025e-04,7.189577508378063309e-01
4.400000000000000000e+09,2.184242569833011089e-06,1.446271002554062001e-04,-7.189404122994106361e-01,-7.471185093728595177e-03,1.446435931657229917e-04,7.189792313022340675e-01
4.560000000000000000e+09,2.320206496088779313e-06,1.429463374091679846e-04,-7.189576938661520478e-01,-7.843502549691110798e-03,1.429651661660286881e-04,7.190004771219437041e-01
4.720000000000000000e+09,2.490491072470965492e-06,1.454294305623797284e-04,-7.190141032499828277e-01,-8.236566922835168378e-03,1.454507539323192562e-04,7.190612781307663681e-01
4.880000000000000000e+09,9.686892867549549913e-07,1.521846877521921702e-04,-7.190337321015422001e-01,-8.657040351813234322e-03,1.521877706820311575e-04,7.190858448387961177e-01
5.040000000000000000e+09,3.533258970490672360e-07,1.610244820751611031e-04,-7.190920027546123805e-01,-9.113911818619419361e-03,1.610248697150952523e-04,7.191497561803641414e-01
5.200000000000000000e+09,-2.370924846899581767e-07,1.691019133533802924e-04,-7.191818530123024189e-01,-9.615089749961298199e-03,1.691020795632639038e-04,7.192461245311709828e-01
5.360000000000000000e+09,-1.250083327024490561e-06,1.742973983824601739e-04,-7.193278754567854483e-01,-1.016272327987878706e-02,1.743018812039002108e-04,7.193996617691976736e-01
