# Frequency, Real(S21), Imag(S21), Real(S11), Imag(S11), Amp(S21), Amp(S11)
2.000000000000000000e+09,4.649751811258618533e-05,5.596329848617137320e-05,-7.197495206474380236e-01,-3.185776817460149457e-03,7.275926035964488058e-05,7.197565711031386204e-01
2.160000000000000000e+09,4.952347011382718671e-05,6.468001401104825972e-05,-7.198172472669157607e-01,-3.456901752774250557e-03,8.146212803864464203e-05,7.198255480549773377e-01
2.320000000000000000e+09,3.419920893498957154e-05,6.805740041122544616e-05,-7.198769184381800246e-01,-3.705213262655251017e-03,7.616689334949233823e-05,7.198864537587659207e-01
2.480000000000000000e+09,2.713351629419143320e-05,7.466256741460301251e-05,-7.200435809417442545e-01,-3.943766541361803067e-03,7.944008232263667516e-05,7.200543811059988419e-01
2.640000000000000477e+09,9.777696075408758461e-06,8.559551113165528042e-05,-7.188973003929942651e-01,-4.176085659765416298e-03,8.615216112456139050e-05,7.189094297641204223e-01
2.800000000000000477e+09,1.544419907720104011e-05,8.226815605637930492e-05,-7.187701649703261975e-01,-4.420972934495140567e-03,8.370527334674320215e-05,7.187837609832024022e-01
2.960000000000000000e+09,4.008759904574660908e-06,8.690251629020602443e-05,-7.188077997914282813e-01,-4.686085441597445667e-03,8.699492797595759263e-05,7.188230745028709734e-01
3.120000000000000000e+09,1.643242132515812724e-06,9.253505431495407199e-05,-7.188320024210903547e-01,-4.959460722785725972e-03,9.254964355294716355e-05,7.188491107008307957e-01
3.280000000000000000e+09,3.405041369962132911e-06,9.741060137123021549e-05,-7.188477887349257189e-01,-5.238901922346884434e-03,9.747009575370218159e-05,7.188668788186337588e-01
3.440000000000000000e+09,-8.133402034726422118e-07,1.033784770562350629e-04,-7.188319045046168698e-01,-5.524980314664567488e-03,1.033816765232268078e-04,7.188531368375684627e-01
3.600000000000000000e+09,7.086643660907902882e-06,1.126746210234847790e-04,-7.188742511113609401e-01,-5.815080167579500872e-03,1.128972574563377160e-04,7.188977702485072063e-01
3.760000000000000477e+09,-2.527390935223253723e-06,1.257815889594904649e-04,-7.189100160200782019e-01,-6.114827923169934357e-03,1.258069784475951164e-04,7.189360209744113384e-01
3.920000000000000000e+09,-5.621157351868740969e-07,1.383831551246898740e-04,-7.188938436887315486e-01,-6.423864668471642239e-03,1.383842967838610181e-04,7.189225441804125705e-01
4.080000000000000000e+09,-2.139757125991847250e-07,1.458220692595154277e-04,-7.188912406524284870e-01,-6.743994535139577300e-03,1.458222262507759682e-04,7.189228730184329397e-01
4.240000000000000000e+09,1.322553363858754365e-06,1.467259143164333307e-04,-7.189177269377982071e-01,-7.073864544273922826e-03,1.467318747900182439e-04,7.189525281025175296e-01
4.400000000000000000e+09,2.003554572153911530e-06,1.439578082892021757e-04,-7.189338626589019121e-01,-7.418117778396093355e-03,1.439717500010133421e-04,7.189721325260270968e-01
4.560000000000000000e+09,2.698993712746167386e-06,1.422972833142434812e-04,-7.189625808227487758e-01,-7.779245701642252715e-03,1.423228773095721136e-04,7.190046656920899837e-01
4.720000000000000000e+09,1.542430652880291760e-06,1.448446307913001997e-04,-7.189800325966448913e-01,-8.157511210929729514e-03,1.448528431249694734e-04,7.190263084629303636e-01
4.880000000000000000e+09,8.991346136562312418e-07,1.518174283455145216e-04,-7.190142874232496872e-01,-8.560494842191167589e-03,1.518200908723839110e-04,7.190652457118942298e-01
5.040000000000000000e+09,3.900583688761018964e-07,1.609919186258352891e-04,-7.190614245047419750e-01,-8.993360313707178880e-03,1.609923911505096799e-04,7.191176626537001404e-01
5.200000000000000000e+09,-2.654785254030624960e-08,1.696455325019470030e-04,-7.191301778128598166e-01,-9.464049075461111737e-03,1.696455345791855307e-04,7.191924505068570950e-01
5.360000000000000000e+09,-7.148356385762054052e-07,1.758490584738168290e-04,-7.192375767187625391e-01,-9.979605537135127075e-03,1.758505113899815411e-04,7.193068081778140055e-01
