# Frequency, Real(S21), Imag(S21), Real(S11), Imag(S11)
4.000000000000000000e+09,1.369769636710276903e-06,1.426294233019870965e-04,-7.187572648797787567e-01,6.794494744127733271e-03
4.080000000000000000e+09,1.765385932339397070e-06,1.453485649395972509e-04,-7.187523608921471130e-01,6.950781614752297305e-03
4.160000000000000477e+09,8.181080723374480851e-07,1.463201846276124284e-04,-7.187032180698401662e-01,7.107153172823227685e-03
4.240000000000000000e+09,3.287057583721072181e-06,1.459045885019107547e-04,-7.187256002904011121e-01,7.267572293896516419e-03
4.320000000000000000e+09,3.652527894836086675e-06,1.445224214046052853e-04,-7.187193425397272462e-01,7.429372121444345091e-03
4.400000000000000000e+09,3.389728025882437907e-06,1.428311084379729854e-04,-7.187271873411884560e-01,7.594452262999503919e-03
4.480000000000000000e+09,3.976686633286606811e-06,1.414531140915225682e-04,-7.187055928904863000e-01,7.759197338923306750e-03
4.560000000000000000e+09,3.945351904409218107e-06,1.409001301230603399e-04,-7.186980168517224099e-01,7.927474522992044095e-03
4.640000000000000000e+09,3.700340728295594488e-06,1.415258166014684497e-04,-7.187031343077642243e-01,8.099542769329098196e-03
4.720000000000000000e+09,3.682793812444992698e-06,1.433530091156609251e-04,-7.186812012984713505e-01,8.271544707756213477e-03
4.800000000000000000e+09,3.593092669477087856e-06,1.464322228234187298e-04,-7.186834498964728146e-01,8.449103965931251126e-03
4.880000000000000000e+09,3.493014615138288744e-06,1.503639989007911674e-04,-7.186617115232591946e-01,8.626970097182263403e-03
4.960000000000000000e+09,3.523833592130836868e-06,1.549641336866881055e-04,-7.186507441456759793e-01,8.809548008530749402e-03
5.040000000000000000e+09,3.698459408304848391e-06,1.598772327525626127e-04,-7.186468246993238385e-01,8.997109632512474350e-03
5.120000000000000000e+09,3.911878658816526271e-06,1.647195583469521349e-04,-7.186318701890104244e-01,9.187236920726973496e-03
5.200000000000000000e+09,4.197994647119604481e-06,1.692787289699464192e-04,-7.186114196157045164e-01,9.380495514049878164e-03
5.280000000000000000e+09,4.553939883714483805e-06,1.734349741018015062e-04,-7.185955603884209841e-01,9.579852170140458825e-03
5.360000000000000000e+09,4.927404120147162816e-06,1.770967715430286980e-04,-7.185778959039051950e-01,9.784523539292586114e-03
5.440000000000000000e+09,5.290578131322281829e-06,1.802620598107177016e-04,-7.185580521003592791e-01,9.995093309840157036e-03
5.520000000000000000e+09,5.620811930730183386e-06,1.829836829729197345e-04,-7.185355302849776304e-01,1.021223169540708131e-02
5.600000000000000000e+09,5.901870681246193550e-06,1.853351553744484283e-04,-7.185096486530850868e-01,1.043670017795121294e-02
5.680000000000000000e+09,6.122969239799003195e-06,1.873934260026512860e-04,-7.184794533235088210e-01,1.066933485807485503e-02
5.760000000000000000e+09,6.277031926083302492e-06,1.892205627243279445e-04,-7.184435965574201832e-01,1.091097176697041794e-02
5.840000000000000954e+09,6.358652642169209807e-06,1.908522817563649112e-04,-7.184002251255595661e-01,1.116225318713268827e-02
5.920000000000000000e+09,6.362287709739742081e-06,1.922917276246977232e-04,-7.183470213822937822e-01,1.142330441599333224e-02
6.000000000000000000e+09,6.280540144427052183e-06,1.935065911438649787e-04,-7.182815247223894861e-01,1.169348044421846672e-02
6.080000000000000000e+09,6.101313804807818736e-06,1.944274652677370713e-04,-7.182015443432491208e-01,1.197143573289450452e-02
6.160000000000000000e+09,5.802029540633115306e-06,1.949462738529171904e-04,-7.181053547483345900e-01,1.225540856968570895e-02
6.239999999999999046e+09,5.339512256904652222e-06,1.949148522252467232e-04,-7.179916759897260192e-01,1.254345880006494697e-02
6.320000000000000000e+09,4.634934976037598215e-06,1.941445769140884856e-04,-7.178595884968396179e-01,1.283358983444588507e-02
6.400000000000000954e+09,3.553897933689261195e-06,1.924084570783287772e-04,-7.177084583317797639e-01,1.312379852625317547e-02
6.480000000000000000e+09,1.882336143859451394e-06,1.894475902884230716e-04,-7.175378855172431791e-01,1.341209340743724880e-02
6.560000000000000000e+09,-7.003961864451586222e-07,1.849842424276193368e-04,-7.173476703244704433e-01,1.369650087742674618e-02
6.640000000000000000e+09,-4.649191726880861058e-06,1.787437813275086392e-04,-7.171377914267368370e-01,1.397506727802329089e-02
6.720000000000000000e+09,-1.057881557177583738e-05,1.704874336441565357e-04,-7.169083916643096410e-01,1.424585981624221578e-02
6.799999999999999046e+09,-1.928405881484012417e-05,1.600571631274546485e-04,-7.166597689002713878e-01,1.450696745074465249e-02
6.880000000000000000e+09,-3.175047377644771968e-05,1.474326969177573569e-04,-7.163923704846079099e-01,1.475650217015209154e-02
6.960000000000000954e+09,-4.915142634780026235e-05,1.327998116662343190e-04,-7.161067904674889295e-01,1.499260091166037742e-02
7.039999999999999046e+09,-7.282719251627001460e-05,1.166269768082262286e-04,-7.158037690593808122e-01,1.521342834764084252e-02
7.120000000000000000e+09,-1.042420565361260097e-04,9.974643935353952871e-05,-7.154841939729750244e-01,1.541718077919421170e-02
7.200000000000000000e+09,-1.438479515090974859e-04,8.387992532538380837e-05,-7.150951502697225903e-01,1.559523947027874856e-02
7.280000000000000000e+09,-1.963298147590672579e-04,6.948034239575754485e-05,-7.147996900199389270e-01,1.576643766875064634e-02
7.359999999999999046e+09,-2.597998148913724901e-04,6.024698831564142187e-05,-7.144373066077490675e-01,1.590854982970664466e-02
7.440000000000000000e+09,-3.363286002943580546e-04,5.869760633837460724e-05,-7.140634712496158887e-01,1.602682308202506983e-02
7.520000000000000000e+09,-4.264301103855718802e-04,6.839700462404202375e-05,-7.136798732441297366e-01,1.611973148001448822e-02
7.599999999999999046e+09,-5.299379578573560051e-04,9.346956081622353422e-05,-7.132883781276100343e-01,1.618584511147582589e-02
7.680000000000000000e+09,-6.458043596672289818e-04,1.385099673437902327e-04,-7.128910314714084206e-01,1.622385016614339218e-02
7.760000000000000954e+09,-7.719006880244846675e-04,2.084404889934636171e-04,-7.124900606457209573e-01,1.623257204282939001e-02
7.840000000000000000e+09,-9.048327051974120209e-04,3.083107097713170316e-04,-7.120878737624206645e-01,1.621100123656598127e-02
7.919999999999999046e+09,-1.039785397435127011e-03,4.430381273284960363e-04,-7.116870549142317870e-01,1.615832174290265585e-02
8.000000000000000000e+09,-1.170413748125873239e-03,6.170908354755549928e-04,-7.112903549500382283e-01,1.607394146627939488e-02
8.080000000000000000e+09,-1.288796260337558407e-03,8.341171096153466354e-04,-7.109006768951394717e-01,1.595752385015463889e-02
8.159999999999999046e+09,-1.385468179026268579e-03,1.096530481316218076e-03,-7.105210553776651894e-01,1.580901983018995899e-02
8.240000000000000000e+09,-1.449550056448297829e-03,1.405063532277344828e-03,-7.101546294881310173e-01,1.562869890721506339e-02
8.320000000000000954e+09,-1.468985517679943092e-03,1.758308127412919935e-03,-7.098046087169773699e-01,1.541717798877592811e-02
8.400000000000000000e+09,-1.430899094441687560e-03,2.152264679912418120e-03,-7.094742319338842584e-01,1.517544643720687703e-02
8.480000000000000000e+09,-1.322081051609590423e-03,2.579927662652171938e-03,-7.091667196762710956e-01,1.490488565363455413e-02
8.560000000000000000e+09,-1.129601297369252529e-03,3.030938882300376804e-03,-7.088852204740218044e-01,1.460728154788416833e-02
8.640000000000000000e+09,-8.415484210772991277e-04,3.491343758497655360e-03,-7.086327523389344130e-01,1.428482821115594111e-02
8.720000000000000000e+09,-4.478828802036647619e-04,3.943488678644805484e-03,-7.084121410197289359e-01,1.394012146125381442e-02
8.800000000000000000e+09,5.861506273518345611e-05,4.366099236162714406e-03,-7.082259570577725816e-01,1.357614102571511223e-02
8.880000000000000000e+09,6.813317818404747124e-04,4.734579230491151383e-03,-7.080764540240493954e-01,1.319622087999419539e-02
8.959999999999998093e+09,1.418781798692911322e-03,5.021568459449779129e-03,-7.079655105587663311e-01,1.280400758344440310e-02
9.040000000000000000e+09,2.263597980542773717e-03,5.197792410519040326e-03,-7.078945789572325120e-01,1.240340727586010557e-02
9.120000000000000000e+09,3.201618582184456718e-03,5.233228533064390731e-03,-7.078646428731535378e-01,1.199852262726331699e-02
9.200000000000000000e+09,4.211154639663166124e-03,5.098600235053404699e-03,-7.078761864928958536e-01,1.159358176026083383e-02
9.280000000000000000e+09,5.262536071818701110e-03,4.767190198843102716e-03,-7.079291769524197475e-01,1.119286174121198775e-02
9.360000000000000000e+09,6.318047241259535166e-03,4.216937559203362898e-03,-7.080230611363937943e-01,1.080060966049639810e-02
9.440000000000000000e+09,7.332369972568731319e-03,3.432748845221405241e-03,-7.081567772212954415e-01,1.042096463282779321e-02
9.520000000000000000e+09,8.253649616728590127e-03,2.408909418465831308e-03,-7.083287803788355097e-01,1.005788399667917679e-02
9.600000000000000000e+09,9.025283670003545963e-03,1.151433664835536334e-03,-7.085370813801565859e-01,9.715076779943630086e-03
9.680000000000000000e+09,9.644806028509046378e-03,-6.661504194738164780e-04,-7.087792959468983689e-01,9.395947049820141048e-03
9.760000000000000000e+09,9.885711546099986563e-03,-1.969804835967388975e-03,-7.090527021963139997e-01,9.103549159080485606e-03
9.840000000000000000e+09,9.864626566193209975e-03,-3.747178927079360209e-03,-7.093543032532615422e-01,8.840555943751238557e-03
9.920000000000000000e+09,9.482833082192547447e-03,-5.585113039218434980e-03,-7.096808917318615517e-01,8.609240413630047523e-03
1.000000000000000000e+10,8.712641932394241812e-03,-7.402902688391270469e-03,-7.100291131986838922e-01,8.411470361113383004e-03
1.008000000000000000e+10,7.545694016928058273e-03,-9.109392419841785479e-03,-7.103955257820664393e-01,8.248714806678653436e-03
1.016000000000000000e+10,5.996807842108334285e-03,-1.060797422975802776e-02,-7.107766537542717922e-01,8.122060523481187608e-03
1.024000000000000000e+10,4.106465671556111183e-03,-1.180303701384291873e-02,-7.111690334127415136e-01,8.032236539717994145e-03
1.032000000000000000e+10,1.941362334394287946e-03,-1.260746679050638724e-02,-7.115692502514892048e-01,7.979644337885517455e-03
1.040000000000000000e+10,-4.074337456982874209e-04,-1.295055590059437066e-02,-7.119739670121285613e-01,7.964391430822106641e-03
1.048000000000000000e+10,-2.828923627710439731e-03,-1.278548195552314803e-02,-7.123799427584203148e-01,7.986326205927206032e-03
1.056000000000000000e+10,-5.115339007720457083e-03,-1.178610251316628693e-02,-7.127840434622106924e-01,8.045072159817803423e-03
1.064000000000000000e+10,-7.378129280657573334e-03,-1.085151943182724975e-02,-7.132150144530586822e-01,8.093125897532481988e-03
1.072000000000000000e+10,-9.279565420436211923e-03,-9.243001322524754121e-03,-7.135746288753803679e-01,8.270556731130277936e-03
1.080000000000000000e+10,-1.076225971397295859e-02,-7.216260701358109125e-03,-7.139553731755703403e-01,8.435689793652287674e-03
1.088000000000000000e+10,-1.175789453954814191e-02,-4.927555110470049904e-03,-7.143227368170844693e-01,8.634467170462810370e-03
1.096000000000000000e+10,-1.221871953102547995e-02,-2.505364216690981072e-03,-7.146740404460761864e-01,8.865791059096891913e-03
1.104000000000000000e+10,-1.213335518623405961e-02,-8.596951005779643069e-05,-7.150066429511804378e-01,9.128465213200348538e-03
1.112000000000000191e+10,-1.152732433846559087e-02,2.197485190594186157e-03,-7.153179147247257230e-01,9.421194579059726307e-03
1.120000000000000000e+10,-1.046018061879728719e-02,4.225425987070362613e-03,-7.156052083680276565e-01,9.742575893205944818e-03
1.128000000000000000e+10,-9.019667678298058655e-03,5.900710187015332890e-03,-7.158658279727840856e-01,1.009107752683618096e-02
1.135999999999999809e+10,-7.313656630214293922e-03,7.155112443559776512e-03,-7.160969986880905136e-01,1.046500661386176589e-02
1.143999999999999809e+10,-5.460788357785787382e-03,7.952964738498416800e-03,-7.162958391069945696e-01,1.086246119424916397e-02
1.152000000000000000e+10,-3.580788647261847098e-03,8.291824580367923581e-03,-7.164593402025242197e-01,1.128126522042622801e-02
1.160000000000000000e+10,-1.772835127168518503e-03,8.166259492131931058e-03,-7.164846623239367052e-01,1.175723135393421520e-02
1.168000000000000191e+10,-1.703112531700871381e-04,7.733805980297853155e-03,-7.166676124863079478e-01,1.217232136794128665e-02
1.176000000000000000e+10,1.186636299232218458e-03,6.972950840171088412e-03,-7.167057454303212838e-01,1.263799186109962509e-02
1.184000000000000000e+10,2.248091459605980683e-03,5.990567334153049442e-03,-7.166953758714992295e-01,1.311158275410209510e-02
1.191999999999999809e+10,2.981731361986449981e-03,4.895553355853907510e-03,-7.166332392329975987e-01,1.358790171009442889e-02
1.200000000000000000e+10,3.396178628195900811e-03,3.773100156036961715e-03,-7.165163808006193014e-01,1.406073086784549557e-02
1.208000000000000000e+10,3.519738521836151234e-03,2.703695665526936395e-03,-7.163424310494648228e-01,1.452270738372965671e-02
1.216000000000000000e+10,3.376841476690566578e-03,1.627497770856906620e-03,-7.161981526666505449e-01,1.507704312704922361e-02
1.224000000000000191e+10,3.113590805156617007e-03,9.713584707239160832e-04,-7.158394281491201605e-01,1.540765662860281958e-02
1.232000000000000000e+10,2.707489744591608412e-03,-2.883665548308158091e-04,-7.154712942127516850e-01,1.575223215128742152e-02
1.239999999999999809e+10,2.184044681314135754e-03,-7.623659403832474916e-05,-7.150697369840814943e-01,1.613061877683873505e-02
1.247999999999999809e+10,1.741427105511436863e-03,-2.953098128282809209e-04,-7.145100638421444383e-01,1.626812461576793850e-02
1.256000000000000000e+10,1.349915882766556177e-03,-4.223637145191197961e-04,-7.141456683725339039e-01,1.652257659959889199e-02
1.264000000000000000e+10,9.147169029398525414e-04,-3.689252635392740445e-04,-7.136436570068692697e-01,1.662958908285646492e-02
1.272000000000000000e+10,6.360347299173835364e-04,-2.894838724524541329e-04,-7.131357164261780124e-01,1.665084732411877683e-02
1.280000000000000191e+10,4.391093377041645728e-04,-1.782602253979799749e-04,-7.126391978477469857e-01,1.658534685585287202e-02
1.288000000000000000e+10,3.116846437307235719e-04,-6.232421554236888730e-05,-7.121716316795025925e-01,1.643670603422840368e-02
1.295999999999999809e+10,2.362761563919410631e-04,4.131792669138592425e-05,-7.117491390350614289e-01,1.621314638893175258e-02
1.303999999999999809e+10,1.948386741338900346e-04,1.253276882394222143e-04,-7.113849137202107320e-01,1.592681923424177706e-02
1.312000000000000000e+10,1.722677359565407817e-04,1.899043196109425464e-04,-7.110880763567957175e-01,1.559255744638727084e-02
1.320000000000000000e+10,1.582488849011745731e-04,2.398326209075306759e-04,-7.108631281798208912e-01,1.522627817100116396e-02
1.328000000000000000e+10,1.475467539395344742e-04,2.816270457837977657e-04,-7.107100885464878726e-01,1.484334362716252173e-02
1.335999999999999809e+10,1.392474636533802058e-04,3.213700686540675328e-04,-7.106252412366331761e-01,1.445717837993340874e-02
1.344000000000000000e+10,1.355749442530995795e-04,3.633847801824664986e-04,-7.106022940112868280e-01,1.407835479537754633e-02
1.351999999999999809e+10,1.407072154220531408e-04,4.095238898715045702e-04,-7.106337031677594229e-01,1.371423726824697563e-02
1.359999999999999809e+10,1.596836350223480557e-04,4.587585474578948549e-04,-7.107119255066922658e-01,1.336916153823623950e-02
1.368000000000000000e+10,1.972314625491545191e-04,5.069161499093121194e-04,-7.108304099961744171e-01,1.304504336024609433e-02
1.376000000000000000e+10,2.563121860027987430e-04,5.467191206823363925e-04,-7.109842053078875290e-01,1.274226172015241465e-02
1.384000000000000000e+10,3.364308289029914684e-04,5.685050556690563524e-04,-7.111701264818512946e-01,1.246063574744250835e-02
1.392000000000000000e+10,4.321485255067293151e-04,5.619689605410088575e-04,-7.113864946605419348e-01,1.220030714435775022e-02
1.400000000000000000e+10,5.325426013781484492e-04,5.188857995448456582e-04,-7.116325421199930501e-01,1.196235616695488259e-02
1.407999999999999809e+10,6.223043754167382341e-04,4.361799970452884798e-04,-7.119076489668494379e-01,1.174903436570939180e-02
1.415999999999999809e+10,6.846429203752468903e-04,3.182372276725866983e-04,-7.122106207570638725e-01,1.156359349795115996e-02
1.424000000000000000e+10,7.053590556523976415e-04,1.773552204771311524e-04,-7.125391980475979103e-01,1.140980425383509092e-02
1.432000000000000000e+10,6.767963775610786638e-04,3.182068520473171642e-05,-7.128899038884312089e-01,1.129134495483946447e-02
1.440000000000000000e+10,6.002684151326837013e-04,-9.797516517818616148e-05,-7.132582153430220284e-01,1.121125901567208462e-02
1.448000000000000000e+10,4.860892577570386278e-04,-1.941907630763517359e-04,-7.136389428786124034e-01,1.117162433645742421e-02
1.456000000000000000e+10,3.512132865945914967e-04,-2.455123822859325952e-04,-7.140266575436161611e-01,1.117348074375426430e-02
1.463999999999999809e+10,2.152810830006424928e-04,-2.493365074785240600e-04,-7.144160247900961380e-01,1.121696895199012292e-02
1.471999999999999809e+10,9.626809195539118486e-05,-2.117005658876046749e-04,-7.148019620831722598e-01,1.130157780164890713e-02
1.480000000000000000e+10,6.890612001972005411e-06,-1.451918886963395267e-04,-7.151796040706802637e-01,1.142638010812809315e-02
1.488000000000000000e+10,-4.742151160180255350e-05,-6.555420014296478560e-05,-7.155441172187555487e-01,1.159014915933856762e-02
1.496000000000000191e+10,-6.865507397283831127e-05,1.206001673683429980e-05,-7.158904538902397530e-01,1.179127629952088883e-02
1.504000000000000191e+10,-6.459374130234417203e-05,7.624831341827587603e-05,-7.162131782303131633e-01,1.202745617344872821e-02
1.511999999999999809e+10,-4.601284580407107440e-05,1.211834334211553654e-04,-7.165065257336531435e-01,1.229518295932095946e-02
