# Frequency, Real(S21), Imag(S21), Real(S11), Imag(S11), Amp(S21), Amp(S11)
4.000000000000000000e+09,3.794183563593181039e-05,1.405014778019627784e-04,-7.188499076804911736e-01,6.802077049462355342e-03,1.455343538686296092e-04,7.188820890969794819e-01
4.080000000000000000e+09,2.209551240276492870e-06,1.453603861380008372e-04,-7.187430766337523647e-01,6.949724984257189646e-03,1.453771783151403506e-04,7.187766752519928470e-01
4.160000000000000477e+09,2.098820884909260726e-06,1.463651342806270082e-04,-7.187536028751851935e-01,7.108886763096398595e-03,1.463801816575348714e-04,7.187887575060352141e-01
4.240000000000000000e+09,1.149941500106640999e-06,1.458937269293146153e-04,-7.187035255670305434e-01,7.267094437904066291e-03,1.458982588065364414e-04,7.187402648551483031e-01
4.320000000000000000e+09,3.540982279167625540e-06,1.445435327562940111e-04,-7.187266850599703938e-01,7.429511579720876092e-03,1.445868991892806932e-04,7.187650836397153631e-01
4.400000000000000000e+09,3.771422035770093982e-06,1.428530298006445325e-04,-7.187205369229799912e-01,7.593398411236776738e-03,1.429028052467680909e-04,7.187606485432326275e-01
4.480000000000000000e+09,3.456466943661570751e-06,1.414834842418376281e-04,-7.187288107110229030e-01,7.760727340680239478e-03,1.415256989982488880e-04,7.187707090824846379e-01
4.560000000000000000e+09,3.832032362136641854e-06,1.409242860858073414e-04,-7.187070074266930231e-01,7.927792067232012838e-03,1.409763770311144590e-04,7.187507303727029839e-01
4.640000000000000000e+09,3.719259230350583369e-06,1.415206012108551482e-04,-7.186995385507820577e-01,8.098594617501706644e-03,1.415694651268572222e-04,7.187451662083619297e-01
4.720000000000000000e+09,3.512788291626497800e-06,1.434158961131909568e-04,-7.187050223215961653e-01,8.273420304345463841e-03,1.434589102828101560e-04,7.187526407560659303e-01
4.800000000000000000e+09,3.452252812048309991e-06,1.464118332245807402e-04,-7.186829180214877599e-01,8.448326852807106976e-03,1.464525280002388404e-04,7.187325725765406625e-01
4.880000000000000000e+09,3.394608842383745063e-06,1.503889680697780376e-04,-7.186736268974197595e-01,8.627703525325903025e-03,1.504272750743212463e-04,7.187254129819069526e-01
4.960000000000000000e+09,3.431139549863340300e-06,1.549890596781158727e-04,-7.186635665944097751e-01,8.810437003068053580e-03,1.550270342182846642e-04,7.187175702251773490e-01
5.040000000000000000e+09,3.572558555672217638e-06,1.598698846390301175e-04,-7.186526285177350371e-01,8.996834420895105655e-03,1.599097970392386625e-04,7.187089421351641194e-01
5.120000000000000000e+09,3.812340779929775066e-06,1.647213010068250669e-04,-7.186406801745317541e-01,9.187245175053142254e-03,1.647654118667002897e-04,7.186994035586924401e-01
5.200000000000000000e+09,4.130662390485022340e-06,1.693019772831753488e-04,-7.186275576357649131e-01,9.382068114773460185e-03,1.693523601364238030e-04,7.186887989913679498e-01
