# Frequency, Real(S21), Imag(S21), Real(S11), Imag(S11), Amp(S21), Amp(S11)
2.000000000000000000e+09,3.776956416948260546e-05,5.357850817659212304e-05,-7.197644584915396937e-01,-3.178768412558242561e-03,6.555300539244415521e-05,7.197714778151743653e-01
2.106666666666666746e+09,4.288722083726104629e-05,5.671109053430418100e-05,-7.198097234269609235e-01,-3.353292490340436128e-03,7.110176861888911214e-05,7.198175341782970804e-01
2.213333333333333492e+09,3.354316603177971527e-05,6.436866555555019757e-05,-7.198490211286414642e-01,-3.540134862857708363e-03,7.258422068767987666e-05,7.198577260644706266e-01
2.320000000000000000e+09,3.416107808402125067e-05,6.815205047353887591e-05,-7.199084671724464979e-01,-3.712268511508802233e-03,7.623438357860833157e-05,7.199180384210990269e-01
2.426666666666666508e+09,2.998734626817377107e-05,7.278655871588597930e-05,-7.199539283449259974e-01,-3.871401390480103122e-03,7.872181442210585275e-05,7.199643370945654208e-01
2.533333333333333492e+09,3.475996421198855263e-06,7.156660093799954258e-05,-7.200421787003890017e-01,-4.034529531939214271e-03,7.165096594561069570e-05,7.200534817193421366e-01
2.640000000000000477e+09,1.015217074242413982e-05,8.627585563589043767e-05,-7.189499656210294187e-01,-4.167126702499568229e-03,8.687111048264746060e-05,7.189620421214418799e-01
2.746666666666666985e+09,1.125931198581196291e-05,8.065207154624313209e-05,-7.187994617952511156e-01,-4.327052114586183058e-03,8.143419890374172334e-05,7.188124857409927682e-01
2.853333333333333015e+09,1.342315740950971950e-05,8.376282051152924646e-05,-7.187901227671651405e-01,-4.508963578662998975e-03,8.483154634266158332e-05,7.188042649707846454e-01
2.960000000000000000e+09,1.624774947938128247e-05,8.737288890676494374e-05,-7.187958536834222478e-01,-4.690857647666460926e-03,8.887075491441840649e-05,7.188111597756051685e-01
3.066666666666666985e+09,-9.301143490301561284e-07,9.064261527735521893e-05,-7.188170912536754331e-01,-4.871248867099737395e-03,9.064738725976000046e-05,7.188335966994864323e-01
3.173333333333333015e+09,2.690252804089884383e-06,9.405409186794832523e-05,-7.188505118706760566e-01,-5.053473314188239827e-03,9.409255898982860696e-05,7.188682744489911514e-01
3.280000000000000000e+09,-1.150181543140108652e-06,9.737167090195873037e-05,-7.188503183021658360e-01,-5.240373193497856186e-03,9.737846379883766188e-05,7.188694190423823294e-01
3.386666666666666508e+09,-3.211500858958422882e-06,2.229305957655810014e-04,-7.188477352658164676e-01,-5.430273275618878633e-03,2.229537267375541598e-04,7.188682454835804148e-01
3.493333333333333492e+09,-5.047180480068144286e-07,1.060490691518585428e-04,-7.188699096656878673e-01,-5.621168813664618492e-03,1.060502701942982260e-04,7.188918865598540320e-01
3.600000000000000000e+09,5.487133171065951357e-06,1.128048317951643351e-04,-7.188585025330017642e-01,-5.817088815445450520e-03,1.129382074710429042e-04,7.188820384362627491e-01
3.706666666666666985e+09,6.349493910741610463e-06,1.209888911854099878e-04,-7.188819331181173222e-01,-6.015001727997770428e-03,1.211553872644445127e-04,7.189070969252070453e-01
3.813333333333333969e+09,2.191536406762555718e-05,1.293955363102674129e-04,-7.188329566362389178e-01,-6.219737861330412731e-03,1.312382870935090606e-04,7.188598644280125294e-01
3.920000000000000000e+09,-8.174842768910474643e-07,1.383190377563984596e-04,-7.188934321449064191e-01,-6.424092515142556387e-03,1.383214534567900810e-04,7.189221346889566044e-01
4.026666666666666985e+09,-2.693506345056464658e-07,1.440397823732503539e-04,-7.189002860916415827e-01,-6.635167747694038602e-03,1.440400342123592740e-04,7.189309054378481001e-01
4.133333333333333015e+09,3.794012830327660051e-07,1.467504611034783056e-04,-7.189128460126472664e-01,-6.851276353864936379e-03,1.467509515451844327e-04,7.189454917792317268e-01
4.240000000000000000e+09,1.146860931240083260e-06,1.466588012233307689e-04,-7.189168962387521011e-01,-7.072287311989633798e-03,1.466632853384242498e-04,7.189516819268064740e-01
4.346666666666666985e+09,1.692504110876150739e-06,1.449308042631160763e-04,-7.189270367730677957e-01,-7.299301953338437933e-03,1.449406864704283037e-04,7.189640909060132090e-01
4.453333333333333015e+09,1.956882633437317876e-06,1.430098205538056337e-04,-7.189387451623895364e-01,-7.532775651968681534e-03,1.430232084819549148e-04,7.189782069052539359e-01
4.560000000000000000e+09,1.914011830316676547e-06,1.422329830723035508e-04,-7.189523756029052581e-01,-7.773500781682135714e-03,1.422458608007023289e-04,7.189943989346953002e-01
4.666666666666666985e+09,1.636891234011289803e-06,1.434251258726953809e-04,-7.189581461689151798e-01,-8.023668129994379269e-03,1.434344663757999947e-04,7.190029173744036939e-01
4.773333333333333015e+09,1.228362585780635811e-06,1.467748455310520625e-04,-7.189874504841239355e-01,-8.280825310210205084e-03,1.467799855406258730e-04,7.190351354568694786e-01
4.880000000000000000e+09,8.376223631182235130e-07,1.518699695350237495e-04,-7.190104296159164354e-01,-8.550097255815587022e-03,1.518722794251545899e-04,7.190612644688549882e-01
4.986666666666666985e+09,5.430424267401717834e-07,1.579648802945173686e-04,-7.190386373004029608e-01,-8.832076367314967841e-03,1.579658137115067136e-04,7.190928782179522027e-01
5.093333333333333969e+09,3.588161401520639671e-07,1.642183495727693508e-04,-7.190740442470962002e-01,-9.128948015202996424e-03,1.642187415778927268e-04,7.191319898333957683e-01
5.200000000000000000e+09,2.253338651853237261e-07,1.699058944653538696e-04,-7.191197452599189521e-01,-9.443200658830868885e-03,1.699060438872695468e-04,7.191817448054237394e-01
5.306666666666666985e+09,2.570393794433904619e-08,1.745277631603103688e-04,-7.191806241255620513e-01,-9.777142114460188674e-03,1.745277650531107112e-04,7.192470803733299611e-01
5.413333333333333015e+09,-3.912078615747637258e-07,1.778092726110795077e-04,-7.192637188186712383e-01,-1.013155259455742266e-02,1.778097029694165551e-04,7.193350718315080217e-01
5.520000000000000000e+09,-1.200067402973074703e-06,1.796120698626555649e-04,-7.193770750079655496e-01,-1.050404273629798428e-02,1.796160789075386345e-04,7.194537587370171128e-01
5.626666666666666985e+09,-2.629599655961167574e-06,1.797925591619024788e-04,-7.195275426440844724e-01,-1.088909227717013706e-02,1.798117880572262090e-04,7.196099338906151166e-01
5.733333333333333969e+09,-5.063970606390679147e-06,1.780642597119757697e-04,-7.197197513039440553e-01,-1.127953619351890376e-02,1.781362523044546895e-04,7.198081330144526779e-01
5.840000000000000954e+09,-9.222530770357299486e-06,1.739332535627245312e-04,-7.199563251903624561e-01,-1.166769582919862172e-02,1.741775868724940385e-04,7.200508630003671362e-01
5.946666666666666985e+09,-1.639404244220188573e-05,1.667682055910285220e-04,-7.202383144711226315e-01,-1.204584633621308930e-02,1.675720711325376865e-04,7.203390396515793048e-01
6.053333333333333969e+09,-2.867302504643989911e-05,1.560467873227750261e-04,-7.205654925958397961e-01,-1.240637739478092985e-02,1.586592014321046252e-04,7.206722884362537496e-01
6.160000000000000000e+09,-4.912105671202730600e-05,1.417934595015052346e-04,-7.209365250197724562e-01,-1.274185567163960663e-02,1.500608655509863901e-04,7.210491162143823907e-01
6.266666666666666985e+09,-8.175719889557300888e-05,1.251879812489878720e-04,-7.213490557027050221e-01,-1.304506358039910809e-02,1.495201331608798023e-04,7.214670012183516112e-01
6.373333333333333015e+09,-1.312760113447023803e-04,1.092793009953081272e-04,-7.217997419054744679e-01,-1.330904072814023849e-02,1.708079529196389009e-04,7.219224321074341200e-01
6.480000000000000000e+09,-2.024060895092220556e-04,9.968954260604855327e-05,-7.222842549658369249e-01,-1.352714055744602510e-02,2.256240899713910755e-04,7.224109138871138702e-01
6.586666666666666985e+09,-2.988621333512807548e-04,1.051454916501974525e-04,-7.227972592286554532e-01,-1.369311149706385795e-02,3.168187954740697677e-04,7.229269529149726647e-01
6.693333333333333015e+09,-4.219098007570751653e-04,1.376407898586924118e-04,-7.233323804666622614e-01,-1.380121111065315057e-02,4.437937212352148324e-04,7.234640323192916833e-01
6.799999999999999046e+09,-2.069222743050252631e-04,2.419613432113696533e-04,-7.238821773154369144e-01,-1.384636076044162487e-02,3.183741811331665286e-04,7.240145912488545887e-01
6.906666666666666031e+09,-7.302328578672901555e-04,3.448233512703101095e-04,-7.244381327214511890e-01,-1.382434541735172266e-02,8.075538188197227711e-04,7.245700246816461076e-01
7.013333333333333015e+09,-8.902921473827986668e-04,5.522183470730115430e-04,-7.249906859539657633e-01,-1.373205816158297801e-02,1.047647464816063101e-03,7.251207238393858612e-01
7.120000000000000000e+09,-1.023996907997787526e-03,8.471117990818605777e-04,-7.255293279396427542e-01,-1.356778118654648584e-02,1.328972560940494237e-03,7.256561791832794039e-01
7.226666666666666985e+09,-1.098115984307777415e-03,1.235484853715723566e-03,-7.260427820134038868e-01,-1.333148539099908089e-02,1.652961445029254650e-03,7.261651670360494970e-01
7.333333333333333015e+09,-1.072505699139930484e-03,1.712325852018815528e-03,-7.265192872506375243e-01,-1.302511995538320304e-02,2.020477245152637897e-03,7.266360357820319527e-01
7.440000000000000000e+09,-9.033346415921591696e-04,2.257641333731924375e-03,-7.269469915561307394e-01,-1.265285374307863892e-02,2.431657431974186719e-03,7.270570976480134062e-01
7.546666666666666985e+09,-5.482110910004010622e-04,2.833222492481792584e-03,-7.273144465128512648e-01,-1.222122449013064542e-02,2.885772876059477989e-03,7.274171172266524765e-01
