# Frequency, Real(S21), Imag(S21), Real(S11), Imag(S11), Amp(S21), Amp(S11)
2.000000000000000000e+09,3.797463211621357238e-05,5.393642888325552256e-05,-7.197403512757135635e-01,-3.177743721228688985e-03,6.596371006121653547e-05,7.197473663096276564e-01
2.106666666666666746e+09,4.285583815915150854e-05,5.677019883670357211e-05,-7.198097521081520123e-01,-3.355777958675456186e-03,7.113001012429455558e-05,7.198175744420992617e-01
2.213333333333333492e+09,3.374516540421205844e-05,6.422746716550244281e-05,-7.198606362783765977e-01,-3.535876722606101988e-03,7.255276512065770059e-05,7.198693201458905566e-01
2.320000000000000000e+09,3.439441630473972784e-05,6.808192249790700297e-05,-7.199192918720097589e-01,-3.709591900412933380e-03,7.627662842545389961e-05,7.199288491799474832e-01
2.426666666666666508e+09,1.877095259326559207e-05,7.020132896788478058e-05,-7.199972011748217993e-01,-3.871123245126224625e-03,7.266756670011596580e-05,7.200076078033869065e-01
2.533333333333333492e+09,3.152665917940276278e-06,7.166843256070266227e-05,-7.200329812795818185e-01,-4.043366217649922885e-03,7.173774130886842438e-05,7.200443340105751044e-01
2.640000000000000477e+09,9.634662002490777103e-06,8.597318983521212341e-05,-7.189227073469558471e-01,-4.185271160038224816e-03,8.651136389136205597e-05,7.189348897040397368e-01
2.746666666666666985e+09,1.076159556388343304e-05,8.078440791717806757e-05,-7.187864395939593809e-01,-4.333583752607668253e-03,8.149805213383702672e-05,7.187995031246900979e-01
2.853333333333333015e+09,1.222983371771387218e-05,8.411916731679938447e-05,-7.188117240009518349e-01,-4.512149607597657971e-03,8.500354782498563725e-05,7.188258857715836836e-01
2.960000000000000000e+09,1.612753383212086575e-05,8.752212841527802457e-05,-7.187784193491407736e-01,-4.699865570131385797e-03,8.899561961044274441e-05,7.187937846548386744e-01
3.066666666666666985e+09,-9.789613879100260213e-07,9.079706127440486654e-05,-7.188173772490245028e-01,-4.878087002701346660e-03,9.080233863434933740e-05,7.188339290600941345e-01
3.173333333333333015e+09,2.080620353939141496e-06,9.420344742897039875e-05,-7.188600366885169457e-01,-5.060593570183026177e-03,9.422642139315286366e-05,7.188778491197920228e-01
3.280000000000000000e+09,-1.277995084458118236e-06,9.755915918580596773e-05,-7.188306449920788266e-01,-5.249988519596054254e-03,9.756752949868786591e-05,7.188498164145163960e-01
3.386666666666666508e+09,-6.114323747473506148e-07,1.012817562685656969e-04,-7.188348657185155144e-01,-5.440459287006550390e-03,1.012836018435069014e-04,7.188554533213264985e-01
3.493333333333333492e+09,-1.108829062046612272e-06,1.062456909789018461e-04,-7.188733898871371153e-01,-5.631658343349620760e-03,1.062514769472553951e-04,7.188954487709044994e-01
3.600000000000000000e+09,-8.495502980328132122e-07,1.130715889831029463e-04,-7.188762624306473947e-01,-5.828061037250270408e-03,1.130747804369862852e-04,7.188998866196258941e-01
3.706666666666666985e+09,1.091712543266567216e-05,1.212204573127981255e-04,-7.188805184534243775e-01,-6.028102391635072055e-03,1.217110631735524224e-04,7.189057920411465741e-01
3.813333333333333969e+09,-1.318250749032533377e-06,1.305341591367041609e-04,-7.188743338195832111e-01,-6.232992282412684951e-03,1.305408154048523159e-04,7.189013548584688440e-01
3.920000000000000000e+09,-8.318765080236931464e-07,1.386199392304514517e-04,-7.188858771066125586e-01,-6.441315484661992372e-03,1.386224353082092400e-04,7.189147340599695291e-01
4.026666666666666985e+09,-2.649201440316921733e-07,1.443589318636694021e-04,-7.189019459339257567e-01,-6.653500343369599807e-03,1.443591749474284699e-04,7.189327346382304862e-01
4.133333333333333015e+09,4.730578923315561234e-07,1.470630543108354899e-04,-7.189100636773277930e-01,-6.871648891267261548e-03,1.470638151517947084e-04,7.189429040021358963e-01
4.240000000000000000e+09,1.214545864908842118e-06,1.470121465849153430e-04,-7.189193481192431845e-01,-7.095396503861177949e-03,1.470171635053628867e-04,7.189543613830745583e-01
4.346666666666666985e+09,1.785456540829650558e-06,1.452963973087929069e-04,-7.189300393133516431e-01,-7.325331681440560259e-03,1.453073670739849063e-04,7.189673580290975030e-01
4.453333333333333015e+09,2.064256804922824063e-06,1.433802842359014978e-04,-7.189424465189010460e-01,-7.562173858259834021e-03,1.433951430967052396e-04,7.189822166646721024e-01
4.560000000000000000e+09,2.072963813171652302e-06,1.425910250150167684e-04,-7.189468798885123579e-01,-7.808017584248781728e-03,1.426060924147487421e-04,7.189892775556691040e-01
4.666666666666666985e+09,1.731245159224320222e-06,1.437742987247124429e-04,-7.189741744253057565e-01,-8.060327226168220380e-03,1.437847216625750938e-04,7.190193546529487501e-01
4.773333333333333015e+09,1.314196575825470895e-06,1.470821815904663362e-04,-7.189947980032989072e-01,-8.324081061267375389e-03,1.470880527237029790e-04,7.190429819428870717e-01
4.880000000000000000e+09,9.039029504091552896e-07,1.521174919480039337e-04,-7.190199295336141549e-01,-8.599738713573333235e-03,1.521201774818015269e-04,7.190713556890339087e-01
4.986666666666666985e+09,5.860358312783384575e-07,1.581230351074541655e-04,-7.190511819203377897e-01,-8.889349384369988477e-03,1.581241210871659755e-04,7.191061276011435632e-01
5.093333333333333969e+09,3.712141932667756373e-07,1.642468067288712589e-04,-7.190910615154209040e-01,-9.195354077362849834e-03,1.642472262189181517e-04,7.191498517610797059e-01
5.200000000000000000e+09,1.919002703367431804e-07,1.697484999515400756e-04,-7.191435764212428250e-01,-9.520359707367809232e-03,1.697486084229021222e-04,7.192065911522874666e-01
5.306666666666666985e+09,-8.069722883786130540e-08,1.741046379256015156e-04,-7.192149247248701416e-01,-9.866212211258452644e-03,1.741046566271205274e-04,7.192825940410335628e-01
5.413333333333333015e+09,-6.150306315670079659e-07,1.770019180211963958e-04,-7.193132074318444591e-01,-1.023217912872902667e-02,1.770029865450300729e-04,7.193859797602467632e-01
5.520000000000000000e+09,-1.619892183704970765e-06,1.782369543909964550e-04,-7.194463398681416599e-01,-1.061392228941589709e-02,1.782443153687235772e-04,7.195246286931611390e-01
5.626666666666666985e+09,-3.404598456781225148e-06,1.775690730798031752e-04,-7.196201725163743346e-01,-1.100461763698179149e-02,1.776017089024550983e-04,7.197043103260064578e-01
5.733333333333333969e+09,-6.523400743337424816e-06,1.745996713455886856e-04,-7.198382730743835278e-01,-1.139648216842560971e-02,1.747214926425645967e-04,7.199284819956257575e-01
5.840000000000000954e+09,-1.199570312725614890e-05,1.687564628244542936e-04,-7.201023794041228054e-01,-1.178153706344212473e-02,1.691822704615903057e-04,7.201987513451106881e-01
5.946666666666666985e+09,-2.155985244797001537e-05,1.594443206321758798e-04,-7.204127861000676480e-01,-1.215187455790987282e-02,1.608953654380210815e-04,7.205152673134227470e-01
6.053333333333333969e+09,-3.788922624783581711e-05,1.463974486689448393e-04,-7.207685731909665439e-01,-1.249975057019899090e-02,1.512210515848769893e-04,7.208769519578628326e-01
6.160000000000000000e+09,-6.467590503536065983e-05,1.302312878218481629e-04,-7.211677271836568481e-01,-1.281763034751702557e-02,1.454068809234282758e-04,7.212816248726754420e-01
6.266666666666666985e+09,-1.064744988876727204e-04,1.131467372220266749e-04,-7.216071960824509413e-01,-1.309822943911622718e-02,1.553673165674537067e-04,7.217260623341908987e-01
6.373333333333333015e+09,-1.682047736131048687e-04,9.968596188243873538e-05,-7.220829023218837683e-01,-1.333456673336445332e-02,1.955252844587187556e-04,7.222060152723471793e-01
6.480000000000000000e+09,-2.542428906154981893e-04,9.738576646563500963e-05,-7.225897282976729841e-01,-1.352003982975915827e-02,2.722561935725675516e-04,7.227162008135027405e-01
6.586666666666666985e+09,-3.670906678958196345e-04,1.171311225338743508e-04,-7.231214864972195233e-01,-1.364853178790974113e-02,3.853248737393479484e-04,7.232502794012001246e-01
6.693333333333333015e+09,-5.056970206488819574e-04,1.729916779193170885e-04,-7.236708873378911999e-01,-1.371455765708090579e-02,5.344675830417561007e-04,7.238008305273905263e-01
6.799999999999999046e+09,-6.636072002901789507e-04,2.813357854689808348e-04,-7.242295212375094993e-01,-1.371345714642682734e-02,7.207803690878505270e-04,7.243593433778700019e-01
6.906666666666666031e+09,-8.272191941367356815e-04,4.590727837884562689e-04,-7.247878754617665953e-01,-1.364163534321068127e-02,9.460652281758976127e-04,7.249162424937232174e-01
7.013333333333333015e+09,-9.745155398239004410e-04,7.209709431792771153e-04,-7.253354095178925487e-01,-1.349684617874374534e-02,1.212220952742149461e-03,7.254609714914107554e-01
7.120000000000000000e+09,-1.074694490187947694e-03,1.076139722474215264e-03,-7.258607135746125705e-01,-1.327850340306713228e-02,1.520869800320597334e-03,7.259821582956919039e-01
7.226666666666666985e+09,-1.089130262598320912e-03,1.523936343561771087e-03,-7.263517708958370234e-01,-1.298799231873142002e-02,1.873122181849306948e-03,7.264678816217479129e-01
7.333333333333333015e+09,-9.740342889441653933e-04,2.049747047973722851e-03,-7.267963363285705469e-01,-1.262894427553398931e-02,2.269406476750244171e-03,7.269060494549121065e-01
7.440000000000000000e+09,-6.850588263559273701e-04,2.621282803193049783e-03,-7.271824280529463058e-01,-1.220742775084787159e-02,2.709322633036489233e-03,7.272848856956060093e-01
7.546666666666666985e+09,-1.838742958177688215e-04,3.186196459525442518e-03,-7.274989101882017861e-01,-1.173200796595312047e-02,3.191497710379085154e-03,7.275935021259704039e-01
7.653333333333333969e+09,5.535424372071309253e-04,3.671947525409089991e-03,-7.277361224599322442e-01,-1.121363417776246978e-02,3.713436125631778065e-03,7.278225123781829620e-01
7.760000000000000954e+09,1.527554790948705814e-03,3.988878064475552890e-03,-7.278864944173758511e-01,-1.066533124549598477e-02,4.271366508812440496e-03,7.279646269193253971e-01
7.866666666666666985e+09,2.705566633577969997e-03,4.037368962521321707e-03,-7.279450711683693731e-01,-1.010169863346066163e-02,4.860086310783062920e-03,7.280151584641652018e-01
7.973333333333333969e+09,4.014437638896316968e-03,3.719645915320671844e-03,-7.279098797231762230e-01,-9.538251173091120624e-03,5.472794102828024317e-03,7.279723698287249301e-01
8.080000000000000954e+09,5.336825986914706110e-03,2.956200886752303504e-03,-7.277820819378886252e-01,-8.990665162546474659e-03,6.100888074489093336e-03,7.278376129672831096e-01
8.186666666666667938e+09,6.514078886280178990e-03,1.705784661510592951e-03,-7.275658894411904942e-01,-8.474013094276424199e-03,6.733715545531013084e-03,7.276152364926621319e-01
8.293333333333334923e+09,7.354082024613607660e-03,-2.460836203287564833e-05,-7.272380632435104797e-01,-7.998099179961760605e-03,7.354123196970997409e-03,7.272820431034060507e-01
8.399999999999999046e+09,7.668541587254167242e-03,-2.103125062778333273e-03,-7.269039557038899924e-01,-7.522580396150974937e-03,7.951708313635067610e-03,7.269428794848873387e-01
8.506666666666666031e+09,7.298492256487565735e-03,-4.392347705657172890e-03,-7.264671169467420420e-01,-7.237988008439976036e-03,8.518257309180134185e-03,7.265031730662445675e-01
8.613333333333332062e+09,6.129516808694222482e-03,-6.611548981979619224e-03,-7.259863970542524969e-01,-6.963128800795153131e-03,9.015739362314149213e-03,7.260197888973214386e-01
8.720000000000000000e+09,4.177984849575088269e-03,-8.454877246155706461e-03,-7.254686429517533952e-01,-6.767502228847741864e-03,9.430827463740415126e-03,7.255002074380655364e-01
8.826666666666666031e+09,1.587931721613280306e-03,-9.613356149457375280e-03,-7.249263692573599815e-01,-6.654349657303364890e-03,9.743620662198198765e-03,7.249569099015609197e-01
8.933333333333332062e+09,-1.361888495520628987e-03,-9.843282188596395518e-03,-7.243718932013170075e-01,-6.625129927115323315e-03,9.937049085043832969e-03,7.244021893993773942e-01
9.040000000000000000e+09,-4.309281553861097486e-03,-9.021290855828985322e-03,-7.237990976106187802e-01,-6.650909892915640720e-03,9.997679541569192904e-03,7.238296542034939884e-01
9.146666666666666031e+09,-6.791555519041101233e-03,-7.233229410596541016e-03,-7.232737703203788726e-01,-6.816877144923507922e-03,9.921937012223793623e-03,7.233058942435525163e-01
9.253333333333333969e+09,-8.499763307896892467e-03,-4.686913592553172345e-03,-7.227527916712795930e-01,-7.033899136129227389e-03,9.706345105874300550e-03,7.227870181496658386e-01
9.360000000000000000e+09,-9.189561841040916335e-03,-1.762888159788114379e-03,-7.222649723692837753e-01,-7.327246802211955651e-03,9.357126775577876560e-03,7.223021382062376761e-01
9.466666666666666031e+09,-8.814934838555277263e-03,1.107951779059433532e-03,-7.218207261164807376e-01,-7.692376563263709013e-03,8.884291381573239041e-03,7.218617134247490297e-01
9.573333333333333969e+09,-7.515920337128625950e-03,3.525688881099364388e-03,-7.214302853760871104e-01,-8.123816641208580006e-03,8.301779363508244788e-03,7.214760238945174819e-01
9.680000000000000000e+09,-5.579140165312945418e-03,5.200186328557466695e-03,-7.211038995689109665e-01,-8.615085291905849943e-03,7.626843569650825112e-03,7.211553602852001088e-01
9.786666666666667938e+09,-3.368303943839771972e-03,5.998638422150889479e-03,-7.208520641163924658e-01,-9.158429510752338909e-03,6.879617313324300730e-03,7.209102407179184269e-01
9.893333333333333969e+09,-1.245235379568082395e-03,5.953807720449798106e-03,-7.206856957195242330e-01,-9.744311017501783301e-03,6.082634094092434322e-03,7.207515685809782191e-01
1.000000000000000000e+10,4.990619099297484906e-04,5.236362569643022470e-03,-7.206161060980897926e-01,-1.036059095629921455e-02,5.260090850042535744e-03,7.206905814654005482e-01
1.010666666666666794e+10,1.689706592606601832e-03,4.102477019933934918e-03,-7.206545556264648544e-01,-1.099142744522145845e-02,4.436826125529850888e-03,7.207383714098072325e-01
1.021333333333333397e+10,2.042106806764923226e-03,2.826663287688790851e-03,-7.208111039047266910e-01,-1.161602505509085927e-02,3.487151495447714938e-03,7.209046951923888669e-01
1.031999999999999809e+10,2.354953203144619957e-03,1.664712865432624918e-03,-7.210924620869278989e-01,-1.220759311661995423e-02,2.883933687403024242e-03,7.211957877083645663e-01
1.042666666666666603e+10,2.010509542287650282e-03,7.670230461626719159e-04,-7.214986938495218105e-01,-1.273318249455508699e-02,2.151853380919425355e-03,7.216110442357472898e-01
1.053333333333333206e+10,1.358019689413367346e-03,2.055066259962919605e-04,-7.220190571195739260e-01,-1.315537455557063556e-02,1.373481142994966092e-03,7.221388943434191576e-01
1.064000000000000000e+10,1.115810426689907865e-03,-6.199704689094571227e-05,-7.227501685944242027e-01,-1.332954082297621926e-02,1.117531450176285739e-03,7.228730752087948463e-01
1.074666666666666603e+10,6.907886831034934895e-04,-1.069535771126990100e-04,-7.232842019573050285e-01,-1.354759964013913486e-02,6.990193647968994447e-04,7.234110686580799143e-01
1.085333333333333206e+10,4.226852327208853780e-04,-3.756433724578866302e-05,-7.239327156127212115e-01,-1.347442845454981629e-02,4.243511345490010131e-04,7.240581033015138779e-01
1.096000000000000000e+10,2.713945427323859400e-04,6.312669229151067615e-05,-7.245151088290101571e-01,-1.322697946555999315e-02,2.786395110256044416e-04,7.246358367533962674e-01
1.106666666666666603e+10,1.966029267276393560e-04,1.509831517404275022e-04,-7.249814118654108741e-01,-1.283827823798489032e-02,2.478883274931404984e-04,7.250950757924649048e-01
