# Frequency, Real(S21), Imag(S21), Real(S11), Imag(S11), Amp(S21), Amp(S11)
2.000000000000000000e+09,4.607418488880509161e-05,5.599083678138051226e-05,-7.197431590694340908e-01,-3.184394566929355137e-03,7.251071863281309657e-05,7.197502034706253493e-01
2.106666666666666746e+09,3.647688857647967027e-05,6.075588076657833332e-05,-7.197438636153405955e-01,-3.370405158882443155e-03,7.086494512764119345e-05,7.197517550120131613e-01
2.213333333333333492e+09,4.386566924981726793e-05,6.741613976919138499e-05,-7.198304022096281285e-01,-3.543553258954427413e-03,8.043091967715844458e-05,7.198391241902416526e-01
2.320000000000000000e+09,3.403168742993688771e-05,6.814433270805331775e-05,-7.199019384371054819e-01,-3.706688227780150294e-03,7.616958598781268500e-05,7.199114810191041824e-01
2.426666666666666508e+09,2.787219301194667609e-05,7.205230154922316697e-05,-7.199879661756939386e-01,-3.865177608222632004e-03,7.725537717101247184e-05,7.199983409951410396e-01
2.533333333333333492e+09,1.671547904578672377e-05,7.454280433296919860e-05,-7.200329426768027341e-01,-4.034303738511771202e-03,7.639395864565120880e-05,7.200442445756166654e-01
2.640000000000000477e+09,9.546511260292354873e-06,8.633573718897400123e-05,-7.188974996079644519e-01,-4.193521307001791577e-03,8.686193293501173545e-05,7.189097304693653490e-01
2.746666666666666985e+09,8.126117243161429214e-06,8.049939761010376665e-05,-7.187112733583337354e-01,-4.332150329874767149e-03,8.090850880494081200e-05,7.187243296138222659e-01
2.853333333333333015e+09,1.629608084815014645e-05,8.376492286279093994e-05,-7.187749686658058135e-01,-4.499588557121765066e-03,8.533536519649260294e-05,7.187890524192153130e-01
2.960000000000000000e+09,4.839791365397713028e-06,8.659432705149910090e-05,-7.188087610752922352e-01,-4.674893239472431745e-03,8.672947052739667041e-05,7.188239628903567713e-01
3.066666666666666985e+09,7.033231867652023024e-07,9.042137431032140648e-05,-7.188251879784025578e-01,-4.854006556601946944e-03,9.042410959291937518e-05,7.188415766021309938e-01
3.173333333333333015e+09,1.710901792961876787e-06,9.374589802089601238e-05,-7.188469179225066563e-01,-5.036245160054245856e-03,9.376150905723198135e-05,7.188645596856191311e-01
3.280000000000000000e+09,-4.403648876083852789e-07,9.698335540230849732e-05,-7.188314130751284337e-01,-5.222608187889714315e-03,9.698435516269991426e-05,7.188503850314543753e-01
3.386666666666666508e+09,2.832644925444622427e-07,1.006724215602037111e-04,-7.188387009044872045e-01,-5.409619333399449601e-03,1.006728200735834504e-04,7.188590556565195300e-01
3.493333333333333492e+09,-8.528850341544844575e-07,1.055462598114774355e-04,-7.188714144562483588e-01,-5.597929545168620936e-03,1.055497056986583117e-04,7.188932099675999776e-01
3.600000000000000000e+09,1.052898569138377134e-07,1.123005794589771583e-04,-7.188359336583673986e-01,-5.792534580545453081e-03,1.123006288173668754e-04,7.188592720243396350e-01
3.706666666666666985e+09,-4.502486807507783742e-07,1.207044333618312174e-04,-7.188777269692703253e-01,-5.986567214186100210e-03,1.207052731121357076e-04,7.189026535766263049e-01
3.813333333333333969e+09,1.053879590595444062e-05,1.292926130689313227e-04,-7.188424994821507319e-01,-6.187722537407700472e-03,1.297214169416128137e-04,7.188691306294532346e-01
3.920000000000000000e+09,-2.752498331428193675e-06,1.376155887543107964e-04,-7.189023945227637213e-01,-6.389460473710837501e-03,1.376431128508074308e-04,7.189307880844362231e-01
4.026666666666666985e+09,-1.609352269039998345e-07,1.433707150701401492e-04,-7.188970688924067876e-01,-6.596307674510567230e-03,1.433708053959053814e-04,7.189273307762270582e-01
4.133333333333333015e+09,4.688232871264014008e-07,1.460158714413395441e-04,-7.189041796569362042e-01,-6.807845580273355277e-03,1.460166240811242412e-04,7.189364132450499767e-01
4.240000000000000000e+09,1.102039210451261812e-06,1.459080014646867022e-04,-7.189122209661649165e-01,-7.024085843163986771e-03,1.459121632415899452e-04,7.189465343378713680e-01
4.346666666666666985e+09,1.122558852214829028e-06,1.441279527506569033e-04,-7.189089793855433230e-01,-7.246481024039014632e-03,1.441323242804065587e-04,7.189455001099841480e-01
4.453333333333333015e+09,1.818143761558720122e-06,1.421994862467278848e-04,-7.189318227103160819e-01,-7.472476315094830034e-03,1.422111090441638057e-04,7.189706555958017553e-01
4.560000000000000000e+09,1.771360542120434011e-06,1.414161477080042235e-04,-7.189438693212534259e-01,-7.705781843525423211e-03,1.414272411904518741e-04,7.189851641782573077e-01
4.666666666666666985e+09,1.613349969280314302e-06,1.426670068496690199e-04,-7.189503218061820133e-01,-7.947216929368535257e-03,1.426761288427986542e-04,7.189942444012574763e-01
4.773333333333333015e+09,1.134488177970690540e-06,1.460216713022361335e-04,-7.189742452629309666e-01,-8.194524109318224517e-03,1.460260783330301132e-04,7.190209423770488328e-01
