# Frequency, Real(S21), Imag(S21), Real(S11), Imag(S11), Amp(S21), Amp(S11)
2.000000000000000000e+09,3.777308915346638059e-05,5.360405299227382833e-05,-7.197611137704741369e-01,-3.179952144462706767e-03,6.557591601643259556e-05,7.197681383555085688e-01
2.106666666666666746e+09,5.211484199408686238e-05,5.921817414778634842e-05,-7.198005830161608998e-01,-3.358846050671302191e-03,7.888440216840202730e-05,7.198084197598673128e-01
2.213333333333333492e+09,4.377428002771136450e-05,6.751163050592646521e-05,-7.198353277229824210e-01,-3.549340245930756883e-03,8.046121951296307832e-05,7.198440781545922817e-01
2.320000000000000000e+09,4.435113846753655929e-05,7.067699809724638455e-05,-7.198733877880261200e-01,-3.712921758597787121e-03,8.344016744592959987e-05,7.198829628720181395e-01
2.426666666666666508e+09,1.770381402863940005e-05,6.957920222404564742e-05,-7.199638186696065700e-01,-3.865907874537224780e-03,7.179617269252789561e-05,7.199741977578200114e-01
2.533333333333333492e+09,1.473564084604654461e-05,7.435320159606976435e-05,-7.200888485397144434e-01,-4.027555190731448367e-03,7.579932518650457922e-05,7.201001117845116095e-01
2.640000000000000477e+09,9.536969211086904452e-06,8.657710832201889750e-05,-7.188989940765280195e-01,-4.184753891949616854e-03,8.710080061133658826e-05,7.189111738242632832e-01
2.746666666666666985e+09,8.768535679396715851e-06,8.050984252919317938e-05,-7.187157501198351284e-01,-4.339174337823928883e-03,8.098593681643952505e-05,7.187288486656503439e-01
2.853333333333333015e+09,1.582557568942965148e-05,8.374529495076366101e-05,-7.187959424002912101e-01,-4.506555904068927122e-03,8.522747956083336150e-05,7.188100693905443705e-01
2.960000000000000000e+09,4.195738920068665634e-06,8.698439734274210258e-05,-7.188363876567831490e-01,-4.684429106697919967e-03,8.708553040640804152e-05,7.188516509652800313e-01
3.066666666666666985e+09,6.626002924608880085e-07,9.071950900550163044e-05,-7.188194054424613677e-01,-4.867606545237333597e-03,9.072192873471584260e-05,7.188358861618783235e-01
