# Frequency, Real(S21), Imag(S21), Real(S11), Imag(S11), Amp(S21), Amp(S11)
2.000000000000000000e+09,3.775049847802529861e-05,5.364959311443228394e-05,-7.197611428271776246e-01,-3.181984795686894959e-03,6.560014463919671963e-05,7.197681763950979361e-01
2.106666666666666746e+09,4.297209303253920668e-05,5.675205810829237634e-05,-7.198088981589032542e-01,-3.356796539940321185e-03,7.118565079511600250e-05,7.198167252514662273e-01
2.213333333333333492e+09,4.429941001698438493e-05,6.723195230597183933e-05,-7.198488961352272897e-01,-3.541216889419033891e-03,8.051442814008784440e-05,7.198576063946001691e-01
2.320000000000000000e+09,4.423439752001277395e-05,7.096247006663493838e-05,-7.199083409962719893e-01,-3.713561544319529326e-03,8.362029706905239738e-05,7.199179189153080971e-01
2.426666666666666508e+09,1.800436588074773257e-05,6.972958130088749418e-05,-7.199538207676984269e-01,-3.872930232833407625e-03,7.201646824973376962e-05,7.199642377414281480e-01
2.533333333333333492e+09,1.468618929745570259e-05,7.433179840834969133e-05,-7.200420936693029406e-01,-4.036335268969105071e-03,7.576872976829056674e-05,7.200534068095759688e-01
2.640000000000000477e+09,9.906369306123833645e-06,8.600498748297943181e-05,-7.189288972259545440e-01,-4.170285222270863311e-03,8.657363354264831451e-05,7.189409923946208369e-01
2.746666666666666985e+09,1.020249743709027599e-05,8.068980535973300366e-05,-7.187693227286142683e-01,-4.332788829643950505e-03,8.133225462844018594e-05,7.187823817782355018e-01
2.853333333333333015e+09,1.583972079092141384e-05,8.384109284517409356e-05,-7.187902044698663007e-01,-4.511830124899972837e-03,8.532423808161107830e-05,7.188043646590552838e-01
2.960000000000000000e+09,4.153248320829603812e-06,8.710709385064552149e-05,-7.188366093749504193e-01,-4.690021720848392209e-03,8.720605065429601604e-05,7.188519091450039644e-01
3.066666666666666985e+09,4.179390768628171206e-07,9.078001000985764298e-05,-7.188123736452823875e-01,-4.875476491975670387e-03,9.078097207268614739e-05,7.188289078609658711e-01
3.173333333333333015e+09,-9.803024863106839311e-07,9.423544919441007007e-05,-7.188623681753122385e-01,-5.057339064790203689e-03,9.424054794957905398e-05,7.188801576459281639e-01
3.280000000000000000e+09,-1.095204830662055415e-06,9.751997845816080682e-05,-7.188506501437131879e-01,-5.245395003300157809e-03,9.752612815087684706e-05,7.188697875003371429e-01
3.386666666666666508e+09,-3.070242929179755671e-09,1.012892813908516855e-04,-7.188341104978609453e-01,-5.437141775588936327e-03,1.012892814373837048e-04,7.188546730222589165e-01
3.493333333333333492e+09,-9.943908699205733816e-07,1.061957954661528903e-04,-7.188732464760083651e-01,-5.627702784332956273e-03,1.062004509778143979e-04,7.188952743881299456e-01
3.600000000000000000e+09,-5.507392950761486893e-07,1.129633240015765676e-04,-7.188579290318327653e-01,-5.824093912570373240e-03,1.129646665256721231e-04,7.188815216722697077e-01
3.706666666666666985e+09,8.314506009168111329e-06,1.212893955305889234e-04,-7.188521769855575894e-01,-6.024503799592422285e-03,1.215740452496014411e-04,7.188774214029166609e-01
3.813333333333333969e+09,-1.193352444254943947e-06,1.304699253918272948e-04,-7.188741008784458320e-01,-6.228065545746857938e-03,1.304753828191555396e-04,7.189010792273413664e-01
3.920000000000000000e+09,-7.228158606828555426e-07,1.385518275816673345e-04,-7.188945429564758127e-01,-6.435183132165673073e-03,1.385537130104730374e-04,7.189233446442984121e-01
4.026666666666666985e+09,-1.657739581976732891e-07,1.442859100987149419e-04,-7.189016382739393807e-01,-6.647807654248795266e-03,1.442860053297604576e-04,7.189323743298543512e-01
4.133333333333333015e+09,5.495745436488588749e-07,1.469846670783644038e-04,-7.189097016965325659e-01,-6.865500165826325836e-03,1.469856945022768172e-04,7.189424832946821331e-01
