# Frequency, Real(S21), Imag(S21), Real(S11), Imag(S11), Amp(S21), Amp(S11)
2.000000000000000000e+09,3.774532413142739893e-05,5.366004626892758418e-05,-7.197611494311967339e-01,-3.182451514346732943e-03,6.560571666684211539e-05,7.197681850624955135e-01
2.106666666666666746e+09,4.304093252071685593e-05,5.686876059775274733e-05,-7.198089929457546221e-01,-3.356331024428965519e-03,7.132024820608392915e-05,7.198168178665507178e-01
2.213333333333333492e+09,4.429052628571385913e-05,6.724271343388020094e-05,-7.198488979572704727e-01,-3.541797288671852655e-03,8.051852723824773415e-05,7.198576110720305010e-01
2.320000000000000000e+09,4.422343271056544472e-05,7.097415194435365308e-05,-7.199083437317018719e-01,-3.714214732979273601e-03,8.362441177626369205e-05,7.199179250203491254e-01
2.426666666666666508e+09,1.925422710745661894e-05,7.002380670309529180e-05,-7.199538262494272756e-01,-3.873662548388724994e-03,7.262271522532030442e-05,7.199642471628221463e-01
2.533333333333333492e+09,1.467292480582024281e-05,7.434822992002269122e-05,-7.200421005830780485e-01,-4.037155191385435014e-03,7.578228034704295756e-05,7.200534183198707971e-01
2.640000000000000477e+09,9.890749413026039073e-06,8.602468126259679303e-05,-7.189289241582879075e-01,-4.171303661669233630e-03,8.659141245113540441e-05,7.189410252347763208e-01
2.746666666666666985e+09,1.046031193095605912e-05,8.072372613206245731e-05,-7.187795614834497915e-01,-4.333106308437906055e-03,8.139863688254936607e-05,7.187926222608441718e-01
2.853333333333333015e+09,1.582972243530020838e-05,8.386420009911098208e-05,-7.187902426973089565e-01,-4.512986625729251480e-03,8.534508873182084475e-05,7.188044101458618274e-01
2.960000000000000000e+09,4.143562300336528366e-06,8.713528582114334932e-05,-7.188366607303974254e-01,-4.691309175956889094e-03,8.723375002640385478e-05,7.188519689002826896e-01
3.066666666666666985e+09,2.433229009365138476e-07,9.084360850393233895e-05,-7.188003360544410469e-01,-4.879263412993943734e-03,9.084393437126029290e-05,7.188168962423119313e-01
3.173333333333333015e+09,-9.327439181450192912e-07,9.426898127855599658e-05,-7.188559262812962425e-01,-5.059372312485325290e-03,9.427359568041083744e-05,7.188737302182747202e-01
3.280000000000000000e+09,-1.105279474503469931e-06,9.755957821655457103e-05,-7.188507436693585273e-01,-5.247180527478045343e-03,9.756583902426498695e-05,7.188698940541867755e-01
3.386666666666666508e+09,-1.273978648956790255e-08,1.013335449999084573e-04,-7.188342186906165887e-01,-5.439136339826200831e-03,1.013335458007398094e-04,7.188547963008053987e-01
3.493333333333333492e+09,-1.004271812147477423e-06,1.062435800965771981e-04,-7.188733856752226314e-01,-5.629921138030443382e-03,1.062483264508692833e-04,7.188954309523588604e-01
