# Frequency, Real(S21), Imag(S21), Real(S11), Imag(S11), Amp(S21), Amp(S11)
2.000000000000000000e+09,4.625365117269588939e-05,5.588104310633760727e-05,-7.197418124583998544e-01,-3.189199944229038474e-03,7.254027312781358562e-05,7.197488781493075471e-01
2.106666666666666746e+09,3.647970983599447523e-05,6.075129034793532552e-05,-7.197438605719929106e-01,-3.370185296328858954e-03,7.086246191501880797e-05,7.197517509391748725e-01
2.213333333333333492e+09,4.399602497004118188e-05,6.750132635470759777e-05,-7.198305231075426969e-01,-3.542468444443059184e-03,8.057344024434621619e-05,7.198392397472913595e-01
2.320000000000000000e+09,3.403651269590195894e-05,6.813889885257366113e-05,-7.199019331944283007e-01,-3.706413664009457643e-03,7.616688081666178416e-05,7.199114743628718394e-01
2.426666666666666508e+09,2.787769142844369254e-05,7.204651909908460711e-05,-7.199879647110644099e-01,-3.864867773482169068e-03,7.725196821877282577e-05,7.199983378673088241e-01
2.533333333333333492e+09,1.721567755085785746e-05,7.444042271757729003e-05,-7.200423597110072738e-01,-4.029143856267554911e-03,7.640520982175697201e-05,7.200536325708037921e-01
2.640000000000000477e+09,9.553212005215805041e-06,8.632733301610064579e-05,-7.188974930527547436e-01,-4.193095184483301881e-03,8.685431644592765416e-05,7.189097214287490933e-01
2.746666666666666985e+09,8.130889868063906554e-06,8.049042499306611315e-05,-7.187112684353130776e-01,-4.331722492957212033e-03,8.090006109769625310e-05,7.187243221122078252e-01
2.853333333333333015e+09,1.630038046899487801e-05,8.375511207657420428e-05,-7.187749541649433027e-01,-4.499103684389272641e-03,8.532655625532708089e-05,7.187890348835179744e-01
2.960000000000000000e+09,4.843977671003531827e-06,8.658246901362442506e-05,-7.188087421993460957e-01,-4.674355713696629402e-03,8.671786471179059161e-05,7.188239405191957365e-01
3.066666666666666985e+09,7.075993850244771371e-07,9.040765632637588723e-05,-7.188251638677680688e-01,-4.853409521806292988e-03,9.041042539064718321e-05,7.188415484607925121e-01
3.173333333333333015e+09,2.216408570456220449e-06,9.374926708981420019e-05,-7.188442704949193907e-01,-5.035805296462379788e-03,9.377546345835093640e-05,7.188619092415153844e-01
3.280000000000000000e+09,-4.358506872161286943e-07,9.696655075127800453e-05,-7.188313774690322511e-01,-5.221867096993551040e-03,9.696753028937944664e-05,7.188503440424891533e-01
3.386666666666666508e+09,2.876755038518074453e-07,1.006537920119182617e-04,-7.188386585067858547e-01,-5.408793987922228680e-03,1.006542031093288100e-04,7.188590070495320949e-01
